abandon	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船
descend	v:: 下来， 下降； 遗传	descend from::由…传下来的；起源于¦descend on::袭击¦descend upon::vt. 突然到达）；袭击（突然降临
flavour	n::风味，滋味¦vt:: 给…调味	flavour enhancer::鲜味增强剂；香味增强剂
density	n:: 密集； 浓度， 密度	high density::高密度，密度高¦current density::电流密度；扩散（弥漫）流密度¦low density::低密度¦power density::功率密度；谱线密度；力密度¦energy density::能量密度¦population density::人口密度；种群密度¦density function::密度函数¦probability density::概率密度；几率密度¦bulk density::容积密度，体积密度；单位体积重量¦relative density::相对密度（等于specific gravity）¦density distribution::密度分布¦flux density::通量密度；辐射流密度；流量密度¦spectral density::[电]谱线密度¦probability density function::机率密度函数；概率密度分布函数¦charge density::[化]电荷密度¦power spectral density::功率谱密度¦high density polyethylene::高密度聚乙烯¦electron density::电子密度；电子浓度¦dry density::[物]干密度；[物]干容重¦linear density::线密度
ridiculous	adj:: 荒谬的； 可笑的	
intrusion	n:: 闯入； 打搅； 侵扰	intrusion detection system::入侵侦测系统
severe	adj:: 严重的； 严厉的； 剧烈的	severe test::严格试验，严格检验¦severe acute respiratory syndrome::严重急性呼吸系统综合症¦severe punishment::严厉惩罚；从重处罚¦severe cold::n. 严寒；大寒¦severe weather::恶劣天气；风雨交加的天气；剧烈天气¦severe winter::n. 严冬；寒冬腊月¦severe pain::激痛，剧痛¦severe environment::恶劣环境¦severe stress::危险应力¦severe condition::苛刻条件；深度反应条件¦severe storm::暴风；强烈风暴¦severe strain::危险应变¦severe frost::严霜¦severe discipline::严格的纪律
pathway	n:: 路径， 途径	metabolic pathway::代谢途径
slat	n::板条，狭板¦vt:: 用板条制作	
emerge	vi:: 出现； 显露， 暴露	emerge from::自…出现；从…显露出来¦emerge in endlessly::层出不穷
exemplify	vt:: 作为…的典型； 例证， 举例说明	
lease	n::租约¦vt:: 出租， 租用	lease contract::租契；租赁契约¦lease term::租赁期¦financial lease::融资性租赁；财务租赁¦land lease::批地契约；土地批租；土地契约¦financing lease::融资租贷；筹资性租赁¦finance lease::融资租赁¦lease agreement::租赁合同¦operating lease::经营性租赁；维护性租赁¦on lease::以租借方式¦lease financing::n. 租赁筹资¦net lease::净租赁¦a lease of life::寿命¦lease out::出租¦lease purchase::租借购买，分期付款购买¦capital lease::筹资租赁；资本租赁
exploit	vt:: 剥削； 开发， 开拓； 利用¦n:: 英勇行为； 业绩， 功绩	
evidence	n:: 根据， 证据； 形迹， 迹象	in evidence::明显的；[法]作为证据¦give evidence::作证¦empirical evidence::实验性证据¦strong evidence::有力证据；真凭实据¦substantial evidence::确实证据¦on evidence::adv. 有证据¦conclusive evidence::决定性证据¦material evidence::物证；主要证据¦clear evidence::明显证据¦direct evidence::直接证据¦ample evidence::充分证据¦objective evidence::客观证据¦documentary evidence::证明文件；书面证明¦concrete evidence::证据确凿；具体的证据¦convincing evidence::令人信服的证据¦physical evidence::物证¦clinical evidence::临床证据；临床迹象¦anecdotal evidence::轶事证据¦circumstantial evidence::间接证据；旁证¦audit evidence::审计证据；查帐证据
lethal	adj:: 致命的， 破坏性的， 毁灭性的； 有害的	lethal weapon::致命凶器¦lethal injection::n. 致命性注射剂；注射处死¦lethal dose::[医]致死剂量¦lethal concentration::致死浓度
spring	v:: 跳跃； 涌现， 突然出现； 突然提出¦n::春天，春季；弹簧，发条；弹性，弹力；泉；跳跃	spring festival::春节（中国农历正月初一）¦in spring::在春天¦spring and autumn::春秋¦hot spring::温泉¦spring tide::大潮；涨潮¦spring and autumn period::春秋时代¦early spring::早春¦spring water::泉水¦spring breeze::春风；望春风（台湾名歌）¦spring back::回弹；弹性回复¦spring up::出现；涌现；萌芽¦last spring::去年春天¦warm spring::温泉；暖泉¦make a spring::跳¦spring steel::[冶]弹簧钢¦spring onion::葱；（英）大葱；生吃的小洋葱¦air spring::空气弹簧；气垫¦spring from::起源于，发源（于）……；来自……¦steel spring::弹簧钢；钢簧¦happy spring festival::春节快乐
assessment	n:: 判定， 评定； 核定的付款额； 看法， 评价	risk assessment::风险估计，危险率估计¦environmental impact assessment::环境影响评价¦assessment method::评价法¦environmental assessment::环境评价；环境评估¦quantitative assessment::定量评定（评价）¦life cycle assessment::生命周期研究法¦damage assessment::损坏情况估计¦assessment criteria::评估准则；评价准则¦security assessment::可靠性估计¦conformity assessment::合格评定；符合性评估；型式评价¦formative assessment::形成性评价；形成性测试；教学评测¦assessment process::评价程序，评估过程¦technology assessment::技术评估¦hazard assessment::危害评价，灾害评估¦portfolio assessment::档案评估¦qualitative assessment::质量评定¦preliminary assessment::初步评估；预备评估¦assessment center::评价中心，评估中心¦needs assessment::需求评估¦tax assessment::征税估值；税额查定；确定税款金额
autonomy	n:: 自治， 自治权； 人身自由， 自主权	
fitness	n:: 健康； 适合	physical fitness::身体健康；体力；身体适宜性¦fitness equipment::健身器材¦fitness center::健身中心；健身房¦fitness club::健身俱乐部¦fitness training::体能训练；体育训练¦fitness test::适合性试验¦fitness instructor::健美师；健身指导¦physical fitness test::体能测验；身体适宜性测验
female	adj::女的；	male and female::雌雄；[化]凹凸面¦female flower::雌花¦female parent::[生]母本¦female friend::女性朋友¦female voice::女声¦female die::下半模；阴模¦female sex hormone::[医]雌激素
hypnotic	adj::催眠的¦n:: 催眠药	
minister	n:: 部长； 外交使节； 牧师	prime minister::首相，总理¦foreign minister::外交部长¦finance minister::财政部长¦vice minister::n. 副部长，副总理¦defense minister::国防部长¦deputy prime minister::副总理；副首相¦cabinet minister::n. 大臣；阁僚¦interior minister::内政部长¦minister of education::教育部长¦minister of state::国务大臣¦commerce minister::商业部长¦home minister::内政部长¦assistant minister::部长助理¦minister counselor::公使
cruel	adj:: 残忍的， 残暴的	extremely cruel::极其残忍；惨绝人寰
shade	n::阴凉处；罩；暗部；色度；细微差别¦vt:: 遮蔽， 遮光； 把…涂暗	shades of::[口语]令人想起…的¦in the shade::在荫凉处¦shade in::逐渐变成¦in shade::置于阴凉处（标志）¦lamp shade::灯罩¦color shade::色彩明暗；色泽；色差¦light shade::不饱色；浅色¦a shade better::稍好一点¦window shade::n. 遮光窗帘；百叶窗¦shade tree::能遮荫的树¦shade into::渐渐变为，逐渐变为¦sun shade::遮阳物，遮阳罩¦shade guide::色标；选牙色板；色板
gather	v:: 聚集， 集合， 聚拢； 收集， 采集； 逐渐增加； 猜想， 推测	gather together::集合在一起，聚合¦gather in::收集；尽量收集进来¦gather information::搜集信息¦gather up::收集起；蜷缩；概括¦gather data::收集数据¦gather round::聚集¦gather experience::积累经验
insist	v:: 坚持， 坚决认为； 一定要	insist on::坚持，坚决要求；督促，强调¦insist upon::坚持…
volume	n:: 卷， 册； 体积； 音量	sales volume::销售量¦volume fraction::体积分率，体积分数；容积率¦traffic volume::交通量¦high volume::高容量¦air volume::风量；空气体积¦trading volume::交易额¦volume ratio::体积比¦pore volume::孔体积；孔隙容积¦total volume::总体积；总容积；总成交量¦trade volume::交易量¦volume production::批量生产，成批生成；容积产量¦constant volume::定容；恒定体积¦by volume::[化]按体积计¦volume control::[电]音量控制；容量调节；卷控制¦control volume::控制卷¦unit volume::单位体积；单位容积¦production volume::生产量；产品产量¦transaction volume::交易量¦volume change::n. 体积变化，容积变化¦data volume::数据量；数据卷；资料量
epitomise	vt:: 集中体现； 概括	
guideline	n::指导方针，指导原则	design guideline::设计方针；设计准则
subtropical	adj:: 亚热带的	subtropical high::亚热带高压，副热带高压¦subtropical zone::亚热带，副热带¦subtropical climate::亚热带气候¦subtropical monsoon climate::亚热带季风性气候
loose	adj:: 松的； 散漫的； 不精确的	let loose::释放；使随心所欲；屈服；突然倒塌¦come loose::松掉；变松¦on the loose::散漫；放荡¦in the loose::【英式橄榄球】在争球时¦cut loose::vt. 摆脱；割断；不受约束，自由行动；逃跑；狂欢¦break loose::挣脱，摆脱¦hang loose::◎悬空，摇晃¦loose sand::疏松砂岩¦loose coupling::[电]疏耦合¦play fast and loose::玩弄；行为反复无常¦loose soil::松散地面；松散土壤¦screw loose::滑牙；[美俚]脱线；做事古怪¦work loose::v. 松掉¦get loose::松脱；摆脱防守¦have a screw loose::出故障；出毛病¦hold loose::漠然置之¦loose material::散纤维，松散材料¦set loose::出发；使爆炸；引起；（使）开始（做某事）；释放¦loose change::零钱¦loose end::未了结的零星问题；不用的部分
ejection	n:: 喷出； 排出物	ejection fraction::射血分数；射出分率¦ejection seat::弹射座椅；弹射椅
flint	n:: 火石， 打火石	
alignment	n:: 排成直线； 联盟	in alignment::成一直线；排列整齐；校准¦wheel alignment::n. 前轮定位；前轮校正¦alignment error::安装误差；调准误差；校直误差¦vertical alignment::垂直对齐；纵面线形；竖向定线¦alignment accuracy::对准精度；调整精度¦proper alignment::同轴度；同心性¦out of alignment::不成一条直线；失准¦precise alignment::精密准直¦horizontal alignment::[工程]水平对齐；平面线形；水平线向¦perfect alignment::精确对准¦alignment tolerance::定位公差；对准公差；组对公差
