abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。
walnut	'wɔlnət	'wɔːlnʌt	n::核桃；胡桃树	walnut kernel::核桃仁¦black walnut::黑胡桃；黑胡桃木¦walnut oil::核桃油；胡桃油¦walnut shell::胡桃壳	coffee and walnut cake::咖啡核桃蛋糕¦Below in the valley lie miles of walnut trees.::在下面的山谷里绵延着几英里的核桃树。
arc	ɑrk	ɑːk	n::弧，弓形物；弧光	arc welding::电弧焊，弧焊；电弧焊接¦arc furnace::电弧炉，直接电弧炉¦electric arc::[电]电弧¦submerged arc::埋弧¦plasma arc::等离子弧，等离子体电弧；电浆弧¦electric arc furnace::[化]电弧炉¦circular arc::圆弧¦submerged arc welding::埋弧焊¦argon arc::氩弧焊¦arc voltage::弧电压¦argon arc welding::氩弧焊¦arc length::弧长¦welding arc::焊弧¦arc discharge::弧放电¦island arc::[地]弧形列岛¦plasma arc welding::等离子弧焊；等离子电弧焊接¦joan of arc::圣女贞德（法国民族女英雄）¦metal arc welding::金属电弧焊；金属弧焊接¦manual arc welding::手工电弧焊¦arc welder::电焊机；焊工	the arc of a rainbow::彩虹的弧状
exclamation	,ɛksklə'meʃən	,eksklə'meɪʃ(ə)n	n::呼喊，惊叫；感叹	exclamation mark::[计]感叹号¦exclamation point::感叹号	horrified exclamations of disgust::厌恶的惊叫
outcome	'aʊt'kʌm	'aʊtkʌm	n::后果，成果	possible outcome::可能结果¦therapeutic outcome::治疗结果¦learning outcome::学习结果；学习成果	People who had heard the evidence at the trial were surprised at the outcome.::在审判过程中听过证词的人都对此结果感到吃惊。
ruby	'rubi	'ruːbɪ	n::红宝石	ruby red::宝石红¦ruby laser::红宝石激光器；红宝石雷射	...a ruby and diamond ring.::…一枚红宝石钻戒。
hit	hɪt	hɪt	n::轰动一时的人（或事）	hit the ball::击球；顺利，成功¦hit it off::合得来¦hit hard::使受到沉重的打击，使…遭受严重的挫折¦hit the road::开始流浪，上路¦hit on::偶然发现；忽然想到¦hit the mark::打中目标；达到目的；成功¦hit the spot::使人满足；正合需要；恰到好处¦hit the headlines::成为新闻头条；被大肆宣传¦hit the books::用功学习；准备功课¦hit the target::射中靶子；达到目的¦hit back::抵抗，反击¦hit out::猛打¦hard hit::严重打击；大力击球；坠入情网；（美口）经济上的破产¦hit rate::n. 命中率¦big hit::热门；非常成功¦hit upon::偶然发现，偶然碰到¦direct hit::直接命中¦hit the skids::倒霉，走下坡路¦hit rating::命中等级；命中率¦hit off::适合；将…打掉	Which band had a hit with ‘Bohemian Rhapsody’?::《波希米亚狂想曲》是哪支乐队风行一时的歌曲？
traverse	trə'vɝs	'trævəs; trə'vɜːs	v::横越	traverse survey::导线测量¦rapid traverse::快速移位；快速横动；快速行程	two minutes to traverse the park::两分钟横穿公园
transverse	træns'vɝs	trænz'vɜːs; trɑːnz-; -ns-	adj::横的	transverse vibration::横向振动¦transverse direction::横向¦transverse section::横切面¦transverse distribution::横向分布¦transverse crack::横裂；横向裂缝¦transverse wave::[物]横波¦transverse force::横向力；剪力¦transverse stress::横应力¦transverse bending::横向弯曲¦transverse process::横突¦transverse colon::n. 横结肠；横行结肠¦transverse mode::横模¦transverse beam::横梁；横向梁¦transverse stability::横稳性；横向稳定性；横向稳度¦transverse plane::横向偏转板；截面¦transverse strength::抗挠强度；横向强度¦transverse joint::横向接缝；横节理；横向接头¦transverse deformation::横向变形；横向形变	a transverse beam::横梁
bed	bɛd	bed	n::河床，（湖）底	in bed::在床上；卧床¦go to bed::上床睡觉¦fluidized bed::[化]流化床；流动层¦on the bed::在床上¦coal bed::煤层；煤床¦went to bed::上床睡觉¦fixed bed::[化]固定床¦in the bed::在床上¦stay in bed::卧病在床，卧床；呆在床上；在床休息¦test bed::n. 试验台¦river bed::河床¦moving bed::[化]移动床；活动底¦fluid bed::流化床；怜床¦packed bed::填充层¦under the bed::在床下，在床底下¦double bed::双人床¦fluidized bed reactor::流化床反应器；怜床反应堆¦get out of bed::起床，从床里出来¦sea bed::海底；海床¦circulating fluidized bed boiler::循环流化床锅炉；循环怜床锅炉	the sea bed::海底
harmonious	hɑr'monɪəs	hɑː'məʊnɪəs	adj::和谐的，协调的	harmonious socialist society::社会主义和谐社会¦harmonious world::和谐世界	The decor is a harmonious blend of traditional and modern.::这种装饰风格是传统与现代的和谐统一。
monk	mʌŋk	mʌŋk	n::和尚，僧侣，修道士	buddhist monk::头陀，和尚；比丘	...saffron-robed Buddhist monks.::…身穿黄袍的和尚们。
cooperative	ko'ɑpərətɪv	kəʊ'ɒpərətɪv	adj::合作的¦n::合作社	cooperative relationship::合作关系¦cooperative learning::合作学习，共同学习¦cooperative system::合作制度¦cooperative development::合作开发¦cooperative enterprise::合作企业¦cooperative education::合作教育¦rural cooperative medical service::农村合作医疗¦cooperative society::合作社¦cooperative communication::合作交流；[计]协同通信¦cooperative bank::n. 合作银行；储蓄贷款协会¦cooperative association::合作协会，合作社¦cooperative advertising::n. 工商业联合广告	He was doing his best to be cooperative.::他在尽全力配合。¦a women-only housing co-operative::只限女性成员的住房合作社
hinge	hɪndʒ	hɪn(d)ʒ	n::合页，折叶，铰链	plastic hinge::塑性铰¦hinge on::以…为转移，靠…转动¦door hinge::门铰链¦hinge joint::铰链接合¦concealed hinge::暗式链条¦spring hinge::弹簧铰链¦hinge pin::铰链销；折页轴；销轴¦hinge line::枢纽线，铰合线；蝶铰线	The top swung open on well-oiled hinges.::盖子在上好油的折叶上一下子弹开了。
proper	'prɑpɚ	'prɒpə	adj::合乎体统的，正派的	proper time::适当的时候；[物理]原时；本征时间¦city proper::城市市区部分¦proper for::适合¦proper motion::自行；天体之固有运动¦proper operation::正确操作¦at a proper time::在适当的时候¦in the proper way::用适当方法¦proper name::专有名称（等于proper noun）¦proper handling::适当操作¦proper function::本征函数；本寨数，特寨数¦proper functioning::正常运行；正常工作¦proper value::本征值；固有值；特征值¦proper scale::规定比例尺；适合标度¦proper alignment::同轴度；同心性¦proper law::准据法¦proper pride::自尊心¦proper rate::正常速率¦proper noun::[语]专有名词¦proper quantities::[化]摩尔量；适当数量	It is right and proper that parents take responsibility for their children's attendance at school.::父母负责督促子女上学上课，这是天经地义的事。¦He is always perfectly proper in his behaviour.::他的行为举止向来是无可挑剔的。
composite	kɑm'pɑzɪt	'kɒmpəzɪt	adj::合成的¦n::合成物	composite material::复合材料¦composite structure::组合结构；复合机构；混合结构¦composite index::复合指标；财经综合指数¦fiber composite::复合材料，混合纤维¦composite beam::复合梁；合成梁；混合梁¦composite plate::[冶]复合板；[冶]复合镀层¦composite fiber::复合纤维；混合纤维¦composite board::复合板；合成板；多层纸板；复合纸板¦composite steel::复合钢¦composite pile::复合桩；组合桩；混合桩¦composite wall::组合墙，复合墙¦composite family::[植]菊科；牧草科¦central composite design::中心合成设计¦composite paper::复合纸¦nasdaq composite index::纳斯达克综合指数¦composite construction::组合构造¦composite function::复合函数¦composite force::合力¦composite indicator::综合指标¦composite action::混合作用	composite metals::复合金属¦The child’s character was a composite of two girls I knew.::这孩子的性格综合了我认识的两个女孩的个性。
synthesis	'sɪnθəsɪs	'sɪnθɪsɪs	n::综合，综合物；（化学或生物学物质的）合成；（用电子方式对声音、语音或音乐的）合成	organic synthesis::[化]有机合成¦synthesis method::合成法，综合法¦chemical synthesis::化学合成¦ammonia synthesis::氨合成；氨合成法¦protein synthesis::蛋白质合成¦synthesis gas::合成气¦asymmetric synthesis::不对称合成¦speech synthesis::语音合成；言语合成¦ammonia synthesis catalyst::氨合成催化剂¦custom synthesis::[生]委托合成¦unscheduled dna synthesis::期外DNA合成；非常规DNA合成	a synthesis of Eastern and Western philosophical ideas::东西方哲学思想的结合¦the synthesis of proteins::蛋白质的合成¦speech synthesis software::语音合成软件
applause	ə'plɔz	ə'plɔːz	n::喝彩；夸奖，称赞		She got a round of applause (= a short period of applause) when she finished.::她结束的时候获得一阵掌声。
applaud	ə'plɔd	ə'plɔːd	v::鼓掌；喝彩		The audience applauded loudly.::观众掌声雷动。
hurrah	hə'rɑ	hʊ'rɑː	int::好哇，万岁，乌拉	last hurrah::（美）最后的努力	
pal	pæl	pæl	n::好朋友；同谋	pen pal::笔友（等于pen friend）	We’ve been pals since we were at school.::我们上学的时候就是好朋友。¦an old pal::老朋友
hospitality	,hɑspɪ'tæləti	hɒspɪ'tælɪtɪ	n::好客，殷勤	hospitality industry::酒店业；服务业¦hospitality management::酒店管理	Thanks for your hospitality over the past few weeks.::感谢你几周来的热情款待。
romantic	ro'mæntɪk	rə(ʊ)'mæntɪk	adj::好幻想的	romantic love::浪漫爱情¦romantic movement::浪漫主义运动（十八世纪末及十九世纪初西欧掀起的文学艺术运动）¦new romantic::新浪漫；新浪漫主义	Like many New Yorkers, he had a romantic image of country life.::像许多纽约人一样，他对乡村生活也有一种不切实际的美好幻想。
howl	haʊl	haʊl	n::嚎叫；哀号；吠		He let out a howl of anguish.::他发出一声痛苦的嚎叫。¦The dog let out a savage howl and, wheeling round, flew at him.::狗发出凶猛的嗥叫声，转过身向他猛扑过来。
aerospace	'ɛrospes	'eərəspeɪs	n::航空航天工业	aerospace industry::航空和航天工业¦aerospace science::空间航空科学¦aerospace engineering::航空航天工程	employment in the aerospace industry::航空航天工业的工作
log	lɔɡ	lɒg	n::航海日志；飞行日志	log in::注册；请求联机¦log on::[计]登录；注册¦well log::测井曲线；钻井日志¦in the log::(木材)未经斧削的；处于原木状态的¦log file::日志文件¦like a log::象木头一样不动；无知觉的¦error log::错误日志¦event log::事件日志；事件记录¦log cabin::n. 小木屋¦log off::[计]注销；断线，退出系统¦log book::航海日志；记录簿；值班日记¦resistivity log::电阻率测井¦log out::注销；退出系统¦audit log::审计日志¦compensated neutron log::补偿中子测井¦ship's log::航海日志¦caliper log::钻孔直径记录图¦log entry::航海日志记录；值班日志记录¦porosity log::孔隙度测井¦yule log::n. 圣诞柴；圣诞节原木形大蛋糕	The captain always keeps a log.::船长坚持记航海日志。
pedestrian	pə'dɛstrɪən	pɪˈdestrɪən	n::行人，步行者	pedestrian street::步行街；行人街道¦pedestrian crossing::人行横道¦pedestrian mall::步行街¦pedestrian traffic::行人交通¦pedestrian flow::人流；行人流量¦pedestrian bridge::人行天桥¦pedestrian overpass::步行天桥；人行天桥¦pedestrian subway::地下人行道¦pedestrian overcrossing::人行天桥¦pedestrian area::行人专区；步行街	More than a third of all pedestrian injuries are to children.::所有受伤的行人中有1/3以上是儿童。
move	muv	muːv	n::行动，步骤	on the move::在活动中，在进行中；四处奔波¦move on::往前走，前进；出发，离开¦move in::生活于；周旋于；向内投¦move forward::向前移动，提步向前；向前发展¦move into::移入；迁入新居¦move from::使从…中醒悟过来；从…搬走，离开…¦make a move::走一步；开始行动；搬家¦move up::提升，上升；向前移动¦move towards::走向，接近¦move out::搬出；开始行动¦move away::离开；搬走，移开¦move around::v. 走来走去；绕着……来回转¦move away from::从…离开；抛弃¦move back::v. 退缩¦move through::穿过¦move about::走来走去；经常搬家¦move ahead::前进；进行；进展¦move out of::搬出；脱离；摆脱¦first move::第一步；先走¦move along::往里走；继续向前或后移动	She’s still thinking about her next move.::她还在考虑她的下一步行动。¦Most of the council members are reluctant to make such a drastic move.::大多数市政会成员不愿采取如此极端的举动。¦The authorities have made no move to resolve the conflict.::当局没有采取任何措施来解决冲突。¦Taking the position was a good career move (= a decision that will improve the type of jobs you can do).::接受这个职位在事业上是走对了一步。
