pharmacy	n. 药房；配药学，药剂学；制药业；一批备用药品
recur	 vi.  再发生， 重现； 重新提起
coalition	 n.  合并， 接合； 联合
accumulate	 v.  积累， 堆积， 积蓄
exoskeleton	 n.  外骨骼
pristine	 adj.  纯洁的， 质朴的； 清新的； 原始的
dwarf	 adj.  矮小的， 发育不全的 n. 矮子，侏儒 vt. 使显得矮小，使相形见绌
cull	 v.  精选
leisure	 n.  空闲， 闲暇； 悠闲， 安逸
surround	 v.  包围， 环绕
juncture	 n.  交界处， 接合点
alcove	 n.  凹室， 壁橱
ogle	 v.  抛媚眼
multiform	 adj.  多样的
assimilate	 v.   吸收；  消化；  同化
ethical	 adj.  与伦理有关的； 道德的
zealous	 adj.  热心的
trenchant	 adj.   锐利的， 锋利的
prostrate	 v.  使屈服
virtuoso	 n.  艺术大师； 音乐名手
glamorize	 v.  使有魔力； 使吸引人
succor	 v.  援助， 救援 n. 救援；援助者
comparable	 adj.  可比较的， 比得上的
pantomime	 n.  哑剧
discreet	 adj.  言行谨慎的， 小心的， 慎重的， 审慎的
beatitude	 n.  至福； 祝福
bedlam	 n.  混乱； 吵闹的地方
evict	 v.  驱逐
sufficiency	 n.  充足， 足量
monopoly	 n.  垄断， 专卖
stagy	 adj.  做作的
fungible	 adj.  可互换的， 代替的
bilingual	 adj.  能说两种语言的
bipartisan	 adj.  两党的， 两党成员的
intensive	 adj.  加强的； 集中的； 深入细致的
discountenance	 v.  不赞成， 不支持
alter	 v.  改变， 变更
PhosphorusP	 n.  磷
fraudulent	 adj.  欺诈的， 欺骗性的
insinuate	 v.  含沙射影地说
approximation	 n.  近似值
syllable	 n.  音节
effuse	 v.  涌出， 流出， 泻出
travesty	 n.  滑稽模仿； 贬低
abduction	 n.  诱拐， 诱导
felicitous	 adj.  恰当的， 巧妙的； 幸福的
heedless	 adj.  不注意的
equipment	 n.  装置
embroil	 v.  使卷入， 牵连； 使纠缠
pressure	 n.  压强； 压力
literacy	 n.  识字， 有文化； 读写能力
staid	 adj.  认真的， 沉着的
antidote	 n.  【医】 解毒剂； 解毒药
pithy	 adj.  有髓的； 简练的
hardihood	 n.  大胆， 鲁莽
zeitgeist	 n.  时代精神， 时代思潮
demure	 adj.  端庄的； 假装矜持的
bumper	 n.  缓冲器
wrangle	 v.  争论， 争吵， 口角
ubiquitous	 adj.  到处存在的，  普遍存在的
differentiation	 n.  变异； 区别
mystify	 v.  迷惑
paradigm	 n.  范例
transformer	 n.  变压器
presage	 v.  预示； 预知
fidelity	 n.  忠实， 诚实
diabolical	 adj.  恶魔的
incandescent	 adj.  遇热发光的； 热情的
balk	 v.  犹豫不决； 畏缩不前； 阻止， 妨碍
electrode	 n.  电极
reckless	 adj.  不计后果的
bale	 v.  打包， 捆包， 包装 n. 大包；大捆
paradox	 n.  似是而非的话， 自相矛盾的话
sebaceous	 adj.  脂肪的， 脂肪分泌的， 脂肪过多的
justification	 n.  认为有理， 认为正当
X-ray	 n.  X射线
spindle	 n.  纺锤体
reprehensible	 adj.  应受责难的
repeal	 v.  废止， 撤销
toilsome	 adj.  劳苦的， 劳累的
rebuke	 n.  指责， 谴责
noisome	 adj.  有害的， 有毒的； 令人讨厌的
banal	 adj.  平凡的； 陈腐的， 老一套的
mordacious	 adj.  辛辣的； 锐利的
beaker	 n.  烧杯
admittance	 n.  入场许可； 准入
bellicose	 adj.  好战的， 好斗的
adulterant	 n.  掺杂物
witness	 v.  目击， 目睹； 作证， 证明 n. 目击者，证人；证据
fortify	 v.  在…设要塞， 在…建防御工事； 加强
contingency	 n.  偶然事件； 可能性； 意外事故
authentic	 adj.  真正的， 真实的； 可靠的
Catholicism	 n.  天主教义、 信仰及组织； 天主教
lodge	 v. 住宿，投宿，留宿 n.   山林小屋；  旅馆； 临时住宿； 容纳
hydrochloric acid	 n. 氢氯酸，盐酸
taunt	 v.  嘲弄， 奚落
devoid	 adj.  全无的， 缺乏的
recombination	 n.  重组
dearth	 n.  缺乏
commit	 v.  把…交托给， 提交； 犯 ， 干
outdo	 v.  胜过
incorrigible	 adj.  无药可救的； 不能被纠正的
secant	 n.  割线
precipitation	 n. 降水；降水量
consummate	 v. 完成，完整，圆满 adj.  圆满的； 至上的； 完美的
reassure	 vt.  使放心， 使安心， 安慰
divulge	 v.  泄露； 暴露
bane	 adj.  有害的； 使人苦恼的
crass	 adj.  粗鲁的； 愚钝的
addendum	 n.  附录； 补遗
palette	 n.  调色板
orbit	 n.  轨道
beneficent	 adj.  有益的， 受益的
salutary	 adj.  有益健康的； 有益的
vexation	 n.  恼怒； 烦恼； 苦恼的原因
comprise	 v.  包含， 包括， 构成
height	 n.  高
moderate	 adj. 中等的，适度的，温和的，稳健的 v.  缓和
upheaval	 v.  举起， 抬起， 隆起； 动乱， 大变动
expurgate	 v.  删除
august	 adj.  令人敬畏的， 威严的
divergent	 adj.  分歧的
artless	 adj.  朴实的
polyglot	 adj. 通晓多种语言的；多种语言的 n.  精通数国语言的人， 数种文字的对照本
fluent	 adj.  流利的， 流畅的
amour	 n.  奸情； 恋情
substantial	 adj.  实质的， 真实的； 坚固的， 结实的； 富裕的， 可观的
execute	 v.  实行， 实施， 执行， 完成， 实现； 履行； 处决
celerity	 n.  敏捷， 快速
nihilism	 n.  虚无主义； 怀疑论； 无政府主义
afresh	 adv.  重新； 再度
furtive	 adj.  偷偷摸摸的， 鬼鬼祟祟的
miscreant	 adj. 堕落的，卑劣的；异端的 n.  恶棍； 异端
sober	 adj.  清醒的； 认真的， 冷静的， 严肃的； 颜色不鲜艳， 暗淡的
lascivious	 adj.  好色的， 淫荡的； 挑动情欲的
tawdry	 adj.  俗丽的； 花哨而庸俗的
prolific	 adj.  多产的； 富有创造力的
invective	 adj.  谩骂的， 非难的， 恶言的
alderman	 n.  市府参事， 市议员
eliminate	 v.  消除； 排除
augment	 v.  增加， 增大
tangent	 adj.  切线的， 相切的； 离题的
partition	 n.  区分， 隔开， 分割
glance	 n.  匆匆一看， 一瞥， 眼色
benign	 adj.   良性的；  良好的； 仁慈的； 和蔼的
overlord	 n.  最高统治者； 封建君主
acquit	 v.  宣告无罪， 脱卸义务和责任； 还清
redirect	 v.  更改  姓名地址； 使改变方向； 使改道
reverent	 adj.  尊敬的， 虔诚的
atrocity	 n.  残暴； 暴行； 凶恶
expression	 n.  表达式
appeal	 v.  呼吁， 要求； 对…有吸引力； 申述， 上诉 n. 呼吁，要求；吸引力
swamp	 n.  沼泽， 沼地
abscond	 vt.  潜逃； 避债
puissant	 adj.  强大的； 有势力的
extensive	 adj.  广大的， 广阔的
gyrate	 v.  回旋
kismet	 n.  命运
residential	 adj.  住宅的， 适合居住的， 做住家用的
monotonous	 adj.  单调的
collaboration	 n.  协作
negate	 v.  否定， 打消
inspire	 v.  鼓舞， 感动， 激发， 启示， 使生灵感； 吸入
bureaucracy	 n.  官僚； 官僚主义； 行政系统
geometry	 n.  几何学
overwork	 v. (使)过度工作，(使)过分劳累 n. 过于繁重的工作；过分劳累
littoral	 adj.  海岸的， 沿岸的
aliment	 n.  食物； 养料
odious	 adj.  令人作呕的， 令人讨厌的
appellate	 adj.  有权受理上诉的
trepidation	 n.  颤抖， 惊恐， 恐惧
chronology	 n.  年代学； 年表
hexagon	 n.  六边形
eclectic	 adj.  折中的； 博采众长的
affectation	 n.  假装， 虚饰， 做作
nominate	 vt.  提名， 任命
imperil	 v.  使处于危险， 危害
diameter	 n.  直径
stationary	 adj.  静止的， 固定的
loop	 n.  回路
greedy	 adj.  贪食的； 贪婪的； 渴望的
loot	 v.  掠夺， 抢劫， 劫掠
abrogate	 vt.  废除， 取消
formidable	 adj.  可怕的， 令人畏惧的； 难以克服的， 难对付的
lobster	 n.  龙虾
peccadillo	 n.  轻罪， 小过失
seedy	 adj.  多籽的， 结籽的； 低级的
nucleon	 n.  核子
nausea	 n.  反胃， 晕船
unanimity	 n.  全体一致
assurance	 n.  确信， 断言； 保证， 担保
intercession	 n.  代为求情
immutable	 adj.  永远不变的
temperate	 adj.   温和的， 温带的； 自制的
disrupt	 v.  使分裂， 使瓦解， 破坏； 使陷于混乱； 使中断
scar	 n.  疤， 瘢痕； 创伤
coefficient	 n.  系数
carnal	 adj.  肉体的； 肉欲的， 性欲的， 色欲的； 淫荡的
eccentric	 adj.   古怪的， 怪癖的， 异乎寻常的 n. 古怪的人，怪癖的人
callow	 adj.  年轻而无经验的；  未生羽毛的
defer	 v.  推迟， 延期； 听从， 服从
alloy	 n.  合金
drowsy	 adj.  昏昏欲睡的
mass	 n.  质量
revoke	 v.  撤回； 废除， 宣告无效
renaissance	 n.  复兴， 复活， 新生； 文艺复兴， 文艺复兴时期
castigate	 vt.  惩罚； 严厉批评
jurisprudence	 n.  法律学
vegetable	 n.  蔬菜； 生活呆板、 单调的人
despicable	 adj.  可鄙的， 卑劣的
contemptible	 adj.  可鄙的
speed	 n.  速率
gesture	 n.  姿势， 姿态， 手势
allot	 vt.  分配， 拨给
propel	 vt.  推进， 推动； 激励， 驱使
urgency	 n.  紧急， 紧急的事
rampant	 adj.  猖獗的； 蔓生的； 猛烈的， 狂暴的
berth	 v.  使停泊 n. 停泊处；卧铺
backstage	 adv.   后台；  后台
organic	 adj.  有机的
prologue	 n.  序言
mask	 n. 面具，面罩；假面具，伪装 vt.  掩饰， 掩盖
chaste	 adj.  贞洁的； 有道德的； 朴素的
unaffected	 adj.  不矫揉造作的， 自然的； 未受影响的
autumnal	 adj.  秋的， 秋天的； 已过中年的
unctuous	 adj.  油脂的； 塑性的； 假装虔诚的， 假殷勤的
canary	 n.  金丝雀； 淡黄色
cubic	 adj.  立方体的； 立方的
barbarian	 adj.  粗鲁无礼的； 野蛮的
jargon	 n.  行话， 术语
postwar	 adj.  战后的
overlook	 v.  看漏， 忽略； 俯瞰， 眺望； 宽容， 放任
ethereal	 adj.  飘逸的； 天上的， 超凡的
scribe	 n.  抄写员
concoct	 v.  调制， 调和； 编造
bass	 adj.  男低音的 n. 低音部；男低音；低音乐器
bask	 v.  晒太阳  ； 感到温暖、 愉快或舒适
formula	 n.  公式， 配方
avalanche	 v.  雪崩 n. 雪崩
temperance	 n.  节制； 戒酒， 禁酒
tribute	 n.  贡品； 颂词， 称赞；  礼物
base	 n.  碱
endanger	 v.  使遭到危险， 危及， 危害
oblique	 adj.  倾斜的； 间接的； 不坦率的， 无诚意的
intonation	 n.  声调
subordinate	 adj. 次要的，从属的；下级的 n.  部属， 下级
elocutionist	 n.  雄辩家， 演说家
parallelogram	 n.  平行四边形
ungainly	 adj.  难看的； 不雅的； 笨拙的
itinerary	 n.  行程表； 路线； 旅行路线
pugnacious	 adj.  好斗的， 爱吵闹的
moo	 v.  鸣叫
revolution	 n.  旋转
incentive	 n.  刺激； 动机； 鼓励
fern	 n.  蕨类植物
repudiate	 v.  拒绝接受
stealth	 n.  秘密行动
espy	 v.  看出； 窥探
bombast	 n.  夸大的言辞
punctilious	 adj.  拘泥细节的， 谨小慎微的， 一丝不苟的
mishap	 n.  灾祸
fickle	 adj.   变化无常的， 浮躁的
devious	 adj.  偏僻的； 迂回的； 偏离的
still	 n.  蒸馏釜
magnification	 n.  放大倍数
biology	 n.  生物学
obtrude	 v.  冲出； 强迫
work	 n.  功
resemblance	 n.  相似， 相似处
exceptional	 adj.  例外的， 异常的， 特殊的； 优越的
constitute	 v.  构成， 组成
anthology	 n.  选集； 文选
chronometer	 n.  记时计
expanse	 n.  宽阔的区域， 宽阔
impale	 v.  刺穿
inequality	 n.  不等式
itinerate	 v.  巡回
mate	 v.  使配对； 结伴 n. 伙伴，同事；配偶
disorient	 v.  使失去方向感； 使迷惑
pipette	 n.  吸液管
terminate	 v.   停止， 结束
theory	 n.  理论
bawdy	 adj.  猥亵的， 好色的
galvanize	 v.  电镀， 镀锌； 电击
deprecate	 v.  抗议， 不赞成
priggish	 adj.  自负的
literary	 adj.  文学上的， 文学的； 精通文学的， 从事写作的
stolid	 adj.  不易激动的， 感觉迟钝的， 神经麻木的
rampart	 n.  垒， 壁垒； 城墙
falsify	 v.  伪造
queasy	 adj.  令人作恶的； 忧虑的
verify	 v.  证实， 证明
refulgent	 adj.  辉煌的； 灿烂的
excursion	 n.  短途旅行， 游览
cramp	 v.  用夹子夹紧 n. 夹子，扣钉
playful	 adj.  好玩的， 嬉戏的； 十分有趣的； 顽皮的
plenitude	 n.  充分
academy	 n.   专科院校， 研究院， 学会， 学术团体
washout	 n.  冲刷
persecution	 n.  迫害， 烦扰
inhume	 v.  埋葬
bygone	 adj.  过去的
gusto	 n.  趣味， 兴味
ebb	 v.  退潮， 落潮； 减少， 衰落 n. 退潮，落潮
medley	 adj.  混合的， 拼凑的 n. 混合，混杂；集成曲
disagreeable	 adj.  不愉快的； 脾气坏的
haste	 v.  赶快； 匆忙 n. 急速，匆忙，紧迫，仓促；轻率，草率
nurture	 vt. 教养，抚育；给…营养物 n.  营养物， 食物； 养育
destructive	 adj.  破坏性的， 毁害的
degenerate	 v.  衰退， 堕落， 蜕化 adj.  堕落的， 退化的
censor	 v.  检查， 审查 n. 检查员
bawl	 v.  大叫 n. 叫骂声
perambulate	 v.  巡行
provident	 adj.  有远见的
devour	 v.  狼吞虎咽地吃， 贪食； 破坏， 吞没； 毁灭
stir	 v.  搅拌， 搅动；  动，  摇动； 激动； 轰动； 煽动， 鼓动
homologous	 adj.  相应的； 一致的
avarice	 n.  贪财； 贪婪
compunction	 n.  良心的谴责； 后悔， 悔恨
beleaguer	 vt.  围， 围攻； 使苦恼
axis	 n.  轴
aeronaut	 n.  气球  驾驶员
juxtaposition	 n.  毗邻， 并置， 并列
unqualified	 adj.  不合格的； 无条件限制的， 绝对的
negligent	 adj.  疏忽的； 粗心大意的
portfolio	 n.  文件夹； 公事包
uproarious	 adj.  骚动的
desolate	 v.  使荒芜 adj.  荒凉的， 无人烟的； 孤独的
defendant	 n.  被告
evade	 v.  逃避， 回避， 避开， 躲避
chicanery	 n.  强辩， 强词夺理； 狡辩， 欺骗
alley	 n.  小路， 巷， 小径
exaggerate	 v.  夸大， 夸张
upturn	 v.  向上翻转
cortex	 n.  树皮； 皮层
vex	 v.  使烦恼， 恼怒
aberration	 n.  失常
peruse	 v.  熟 / 精 / 细读
recitation	 n.  朗诵， 背诵； 叙述
qualification	 n.  资格， 合格； 技能； 限定， 条件； 合格证
sequence	 n.  次序， 顺序， 序列； 数列
combustion	 n.  燃烧
recruit	 v. 招募，招收 n.  新兵， 新成员
pathogen	 n.  病原体
senile	 adj.  高龄的， 衰老的
jade	 n.  碧玉， 翡翠； 老马
insure	 vt.  保险， 给…保险； 保证
bombard	 v.  炮轰； 轰炸
protract	 v.  延长
commonplace	 adj.  平凡的 n. 平凡的事，平常话
libel	 v.  诽谤， 中伤， 诬蔑 n. 中伤、诽谤
urea	 n.  尿素
captivate	 v.  迷住； 迷惑
enmity	 n.  敌意， 仇恨， 憎恨
jovial	 adj.  愉快的
derogate	 v.  贬损； 毁损
parameter	 n.  参量
extinct	 adj.  灭绝的； 熄灭了的
sully	 v.  玷污
accompaniment	 n.  伴随物； 伴奏
petulant	 adj.  脾气坏的； 使性子的
foggy	 adj.  有雾的； 不清楚的
appertain	 v.  属于
percolate	 v.  过滤
opaque	 adj.  不透明  的； 难理解的， 晦涩的
retinue	 n.  随员， 扈从
advantage	 n. 优点，长处；有利条件；利益，好处 vt.  有利于， 有益于
circulatory system	 [解剖] 循环系统
tepid	 adj.  微温的， 温热的； 不太热烈的； 不热情的
humid	 adj.  湿的， 湿气重的
controversy	 n.  争论， 辩论
grimace	 n.   怪相， 鬼脸
embolden	 v.  壮胆； 鼓励
compulsory	 adj.  强制的， 义务的， 必修的
anticipate	 v.  预期， 预料， 预感， 期望
variable	 adj. 易变的；可变的，变量的 n.  变量
detach	 v.  分开， 分离
fabricate	 v.  捏造， 编造 ； 建造， 制造
uproot	 v.  连根拔起， 根除； 离开家园
locus	 n.  基因座
landscape	 n.  风景
imperceptive	 adj.  无知觉  的
effervescent	 adj.  冒泡的， 沸腾的； 奋发的， 愉快的
temporary	 adj.  暂时的， 临时的
optimal	 adj.  最佳的， 最理想的
desperate	 adj.  令人绝望的； 不顾一切的， 拼死的
annotate	 v.  注释， 评注
rapine	 n.  抢夺， 掠夺
branch	 n.  支路
vie	 v.  竞争
refraction	 n.  折射
torrid	 adj.  炎热的
omnivore	 n.  杂食动物
visual	 adj.  视觉的
pedantic	 adj.  学究式的； 没有想象力的
dehydration	 n.  干燥； 脱水
anthropoid	 n.  类人猿
extortion	 n.  勒索； 敲诈； 强求
inept	 adj.  不适当的； 无能的
hermit	 n.  隐士
agreement	 n.  同意， 一致； 协定， 协议
fugacious	 adj.  短暂的
instruct	 vt.  教， 教授； 命令， 指示
oscillate	 v.  振荡
vinery	 n.  葡萄园； 葡萄温室
auburn	 adj.  赤褐色的 n. 赤褐色
biased	 adj.  有偏见的
conundrum	 n.   谜语； 难题
perforate	 v.  打孔
community	 n.  团体， 社会
ailment	 n.  疾病  ； 不宁， 不安
impetuous	 adj.  冲动的； 猛烈的； 激烈的
version	 n.  版本； 说法， 看法
propellant	 n.  推进物
conception	 n.  概念， 观念
derelict	 adj.  被抛弃的； 玩忽职守的
retroactive	 adj.  追溯的； 涉及以往的
sinecure	 n.  工作清闲而报酬丰厚的职位， 挂名职务， 闲职
unused	 adj.  未用过的； 空着的， 未消耗的； 无经验的， 不习惯的
despotic	 adj.  专制的； 专横的； 暴虐的
discomfit	 v.  扰乱
vista	 n.  景色， 景观
appropriate	 adj.  适当的， 恰如其分的
exhale	 v.  呼气
connotation	 n.   含义， 内涵
brusque	 adj.  唐突的， 无礼的； 直率的； 粗暴的
utility	 n.  效用， 有用
resignation	 n.  辞职， 让位， 退职； 屈从， 服从， 听任
abrasion	 n.  磨损
measurement	 n.  测量
