access	v. 获取 n. 接近，入口
well-known	 adj. 众所周知的， 著名的
beneath	 adv. 在下方， 在底下 prep. 在…下方；低于，次于；在…掩盖下；连…也不值得，有失…的身份
terror	 n. 恐怖， 惊骇； 引起恐怖的人或事
comparison	 n. 比较， 对照； 比拟， 比喻
surge	 vi. 蜂拥而出；洋溢，奔放；汹涌，奔腾 n. 大浪， 波涛； 高涨； 汹涌
lest	 conj. 唯恐， 以免
heroic	 adj. 英雄的； 英勇的
sway	 v. 摇，摇动；动摇 n. 摇摆， 摇动； 起支配作用的影响
basis	 n. 基础， 根据； 原则
tutor	 v. 当…导师， 当…家庭教师 n. 导师；家庭教师，私人教师
senator	 n. 参议员
adventure	 n. 奇遇； 冒险， 冒险活动
successive	 adj. 连续的， 接连的
condition	 n. 状况， 状态； 环境
thirsty	 adj. 渴的； 渴望的
ceremony	 n. 典礼， 仪式， 礼节
obligation	 n. 义务， 责任
improve	 v. 变得更好； 改善； 提高
gym	 n. 体育馆； 健身房
rarely	 adv. 很少， 难得
evil	 adj. 坏的 n. 邪恶，祸害
governor	 n. 州长； 主管人员； 理事， 董事
twist	 v. 缠绕，盘绕；转动，旋动；捻，搓；歪曲，曲解；扭歪，扭伤；曲折前进；转身 n. 扭弯； 转折， 转变； 弯曲， 曲折处
locate	 vt. 探明， 找出； 把…设置在， 使…坐落于
unite	 v. 联合， 统一
lavatory	 n. 盥洗室， 厕所
exterior	 adj. 外部的；对外的 n. 外部， 外表
technique	 n. 技术， 技巧， 技能
combat	 n. 战争，斗争，格斗 vt. 与…斗争， 与…战斗
troop	 vi. 成群结队而行 n. 军队，部队；一群，大量
scenery	 n. 风景， 景色； 舞台布景
unity	 n. 单一， 统一， 团结； 和睦， 协调
effective	 adj. 有效的； 有影响的
pursue	 vt. 继续； 从事； 追赶， 追踪； 追求
similarly	 adv. 类似地， 相似地
convey	 vt. 表达， 传递； 运送， 输送
muscle	 n. 肌肉， 体力； 力量， 实力
design	 vt. 设计；预定，指定 n. 设计， 构想； 图样； 企图
extra	 adv. 特别地 adj. 额外的；特别的 n. 额外的事物， 额外费用
generous	 adj. 慷慨的； 宽厚的； 大量的
victim	 n. 牺牲者， 受害者
possibility	 n. 可能； 可能的事
lane	 n. 小路； 跑道； 航道， 航线
garlic	 n. 大蒜
chief	 adj. 主要的，为首的；总的 n. 首领， 长官； 酋长， 族长
accord	 vi. 相符合； 相一致 n. 一致，符合；谅解，协议 vt. 使符合；使一致；调节；授予，赠与，给予
aircraft	 n. 飞机， 飞行器
automatic	 adj. 自动的，机械的；不假思索的，无意识的；必然的，自然的 n. 自动手枪； 有自动装置的汽车
doubtful	 adj. 难以预测的； 怀疑的
despite	 prep. 不管， 不顾
opening	 adj. 开首的，开始的 n. 口子， 洞， 孔； 开始； 空缺
industrial	 adj. 工业的， 产业的
obey	 v. 顺从， 服从
conduct	 n. 举止， 行为； 指导； 管理； 实施 vt. 进行； 管理， 指挥， 引导； 传输， 传导
stable	 adj. 稳定的，不变的；沉稳的，持重的 n. 厩， 马厩， 牛棚
lamb	 n. 羔羊， 小羊； 羔羊肉
pillow	 n. 枕头
harness	 vt. 治理；给上挽具 n. 马具， 挽具
fantastic	 adj. 极好的， 极出色的， 了不起的； 极大的； 难以相信的； 异想天开的， 不实际的； 奇异的， 古怪的
sketch	 v. 绘…的略图， 画…的素描； 概述 n. 略图；梗概；素描，速写
tidy	 adj. 整洁的，整齐的 v. 整洁， 整齐
respond	 vi. 回答， 答复； 作出反应， 响应
incident	 n. 发生的事， 事件
maintenance	 n. 维持； 保养； 抚养费
marry	 v. 娶， 嫁； 为…证婚； 结婚， 结合
decay	 vi. 腐烂；衰败 n. 腐烂
absorb	 vt. 吸收； 吸引…的注意， 使全神贯注； 把…并入， 同化
supply	 n&vt. 供给， 供应
concern	 n. 关切的事，有关的事；关心，挂念；关系，关联；公司，企业 vt. 涉及， 有关； 使关心， 使担心
circulate	 v. 循环， 流通； 流传， 散布， 传播
liberty	 n. 自由； 许可， 准许； 过于随便， 放肆
liable	 adj. 易于…的； 可能的
cargo	 n. 船货， 货物
confidential	 adj. 秘密的， 机密的； 亲信的
drift	 vi. 漂流，漂泊 n. 漂流； 大意， 主旨； 趋势
element	 n. 成分， 要素， 元素； 基础， 纲要； 自然力
chaos	 n. 混乱， 紊乱
mankind	 n. 人类
abundant	 adj. 丰富的， 富裕的； 大量的， 充足的
pace	 vi. 踱步 n. 步，步速；速度；节奏
exclaim	 vi. 呼喊， 惊叫
probable	 adj. 很可能的， 大概的
forecast	 v. 预测， 预报 n. 预测，预报
uncover	 vt. 揭露， 暴露； 揭开…的盖子
recognize	 vt. 认出， 识别； 承认； 赏识， 表彰， 报偿
pack	 vt. 捆扎，把…打包；使挤在一起，塞满 n. 包， 小盒
restraint	 n. 抑制， 限制， 克制； 约束措施， 约束条件
input	 n. 输入；投入的资金；输入的数据 vt. 把…输入计算机
cue	 n. 暗示，信号；提示 vt. 提示； 暗示
volt	 n. 伏特， 伏
reality	 n. 现实， 实际； 真实
stereotype	 n. 陈规，老套，固定的模式；铅版 vt. 把…浇铸成铅版； 对…形成固定看法
enroll	 vi. 入学，加入 vt. 招收， 吸收
offend	 vt. 冒犯， 伤害…的感情； 使厌恶； 违反
molecule	 n. 分子
resign	 vi. 辞职 vt. 辞去， 放弃； 使听从， 使顺从
bathe	 v. 洗澡； 游泳
workman	 n. 工人， 劳动者， 工匠
sophisticated	 adj. 老于世故的； 高级的； 精密的， 复杂的； 高雅的
sunrise	 n. 日出； 朝霞
entertainment	 n. 娱乐， 文娱节目， 表演会； 招待， 款待， 请客
document	 n. 公文，文件；证件 vt. 用文件等证明
starve	 v. 挨饿， 饿死
battery	 n. 电池， 蓄电池； 排炮， 炮组； 一系列， 一套
chase	 v. 追逐， 追赶； 追求
accident	 n. 意外， 事故
marine	 adj. 海的， 海生的； 海事的， 海军的， 海运的 n. 海军陆战队士兵
clay	 n. 黏土， 泥土； 肉体
anyway	 adv. 无论如何， 至少； 不论以何种方式， 无论从什么角度
promote	 vt. 促进， 增进， 发扬； 提升； 宣传， 推销
routine	 adj. 例行的， 常规的 n. 例行公事，惯例，惯常的程序
attack	 n. 攻击，打击；突然发作 vt. 攻击， 进攻
humour	 n. 幽默， 诙谐， 幽默感
divorce	 v. 离婚； 分离， 脱离 n. 离婚，离异
currency	 n. 通货， 货币； 通行， 流行
canal	 n. 运河， 沟渠； 管
attach	 vt. 缚， 系， 贴； 附加； 使依恋， 使喜爱； 使附属； 认为有
distribute	 vt. 分发， 分送； 分布
ankle	 n. 踝， 踝关节
convict	 vt. 证明…有罪， 宣判…有罪 n. 囚犯
legislation	 n. 法律， 法规； 立法， 法律的制定
clause	 n. 条款； 从句， 分句
quiz	 n. 智力竞赛，问答比赛；小测验 vt. 考查， 盘问
participate	 vi. 参与， 参加； 分享
ingredient	 n. 组成部分， 成分； 原料； 要素， 因素
surplus	 adj. 过剩的， 多余的 n. 过剩，剩余，盈余
correspondence	 n. 信件， 函件； 通信， 通信联系； 符合， 一致， 相似
refresh	 v. 振作精神， 恢复活力
librarian	 n. 图书馆管理员
intimate	 adj. 亲密的；个人的 n. 至交， 密友 vt. 暗示， 提示
reporter	 n. 记者
declaration	 n. 宣布， 宣告； 宣言， 声明； 申报
disclose	 v. 揭示； 透露
religion	 n. 宗教， 宗教信仰
diagram	 n. 图解， 图表， 简图
claw	 v. 抓， 撕 n. 爪，脚爪，螯
torture	 n. 拷问；折磨 vt. 拷打
prayer	 n. 祷告， 祈祷； 祷文； 祈求， 祈望
tragedy	 n. 悲剧， 惨事， 惨案； 悲剧艺术
charm	 n. 迷人的特性，魅力；符咒，咒文 vt. 吸引， 迷住
clap	 v. 拍手，轻拍 n. 拍手， 鼓掌
purple	 adj. 紫的 n. 紫色
quit	 vt. 停止， 放弃； 离开， 辞
economical	 adj. 节约的； 经济学的
prosperous	 adj. 繁荣的， 兴旺的
polish	 vt. 磨光；修改，润色，使优美 n. 擦光剂
cabinet	 n. 橱， 柜； 内阁
chart	 n. 图表；航海图 vt. 用图表表示， 在图上表示
optical	 adj. 眼的， 光学的， 视觉的
fashion	 n. 样子， 方式； 时尚； 流行款式
insurance	 n. 保险， 保险费
preface	 n. 序言， 前言， 引言
principle	 n. 原则， 原理， 道义； 基本信念， 信条
lid	 n. 盖子， 盖
tedious	 adj. 冗长乏味的， 沉闷的
source	 n. 河的源头， 根源； 来源， 出处
secure	 adj. 安全的，可靠的；牢固的，稳固的；无忧虑的，安心的 vt. 得到， 获得； 使安全， 保卫； 缚牢
domestic	 adj. 本国的； 家庭的； 驯养的
deception	 n. 欺骗； 诡计， 骗局
basically	 adv. 基本上， 从根本上说
donation	 n. 捐款， 捐赠物； 捐赠， 赠送
avenue	 n. 林荫道， 道路， 大街
immense	 adj. 巨大的； 极好的
budget	 v. 规划，安排；编预算 adj. 低廉的， 收费公道的 n. 预算，预算拨款
given	 adj. 规定的，特定的；假设的；已知的；有癖好的，有倾向的 prep. 考虑到
hay	 n. 干草
chest	 n. 胸腔， 胸膛； 箱子
tension	 n. 紧张， 不安； 拉紧； 张力， 拉力
definite	 adj. 明确的， 肯定的
reflection	 n. 映像， 倒影； 反射； 反映， 表达； 非议； 沉思， 反省
ultimate	 adj. 最后的，最终的 n. 终极， 顶点
campus	 n. 校园， 学校场地
adapt	 vt. 使适应； 改编
solicitor	 n. 律师， 法律顾问
cheerful	 adj. 快乐的， 愉快的； 使人感到愉快的
merit	 n. 长处，优点，价值；功劳，成绩 vt. 值得， 应受
misunderstand	 vt. 误解， 误会
guilty	 adj. 内疚的； 有罪的
measure	 vt. 测量，度量；衡量 n. 分量； 尺寸； 量具； 计量单位； 量度， 测量； 措施， 办法
overall	 adj. 全面的， 总体的， 全部的
receipt	 n. 发票， 收据； 收入， 进款； 收到， 接到
assume	 vt. 假定， 假设， 臆断； 承担， 担任； 呈现
pepper	 n. 胡椒，胡椒粉 vt. 在…上撒； 使布满
plural	 adj. 复数的 n. 复数
doctoral	 adj. 博士的
concept	 n. 概念， 观念， 设想
resistant	 adj. 抵抗的， 抗…的， 耐…的
effort	 n. 努力， 努力的成果
video	 adj. 录像的；电视的 n. 录像
disaster	 n. 灾难， 灾祸， 天灾； 彻底的失败
agriculture	 n. 农业， 农学
weapon	 n. 武器， 兵器
grocer	 n. 食品商， 杂货商
stare	 n&vi. 盯， 凝视
painful	 adj. 疼痛的， 引起疼痛的； 困难的； 令人不快的
vote	 v. 投票； 表决 n. 票，选票；选举，投票，表决；表决结果，投票总数
steady	 vi. 稳定 adj. 稳的，平稳的；稳定的，持续的；稳固的
enhance	 vt. 提高， 增加， 加强
enclose	 vt. 围住， 圈起； 附上； 把…装入信封
convention	 n. 习俗， 惯例； 公约； 会议
disease	 n. 病， 疾病； 不健全； 弊端
center	 n. 圆心， 正中； 中心
suspicion	 n. 怀疑， 疑心， 猜疑； 一点儿， 少量
purchase	 vt. 买，购买 n. 购买； 购买的物品
refusal	 n. 拒绝
technician	 n. 技术员， 技师
generic	 adj. 【生物】 属的， 类的； 一般的， 普通的
genius	 n. 天才， 天赋， 天资； 天才人物
alike	 adv. 一样地， 相似地； 同样程度地 adj. 同样的，相同的
fund	 n. 资金，基金；存款 vt. 为…提供资金
gravity	 n. 重力， 引力； 严重性； 严肃， 庄重
typical	 adj. 典型的， 代表性的
quotation	 n. 引文， 引语， 语录； 报价， 牌价， 行情
finance	 v. 筹措资金 n. 财政，金融；财源，财务情况
studio	 n. 画室， 摄影室； 播音室， 录音室， 摄影棚
tray	 n. 盘， 托盘， 碟
downward	 adv. 向下地 adj. 向下的
cabbage	 n. 洋白菜， 卷心菜
regulate	 vt. 管理， 控制； 调整， 调节
palm	 n. 手掌， 掌状物； 棕榈树
hydrogen	 n. 氢
infant	 adj. 婴儿的； 幼稚的 n. 婴儿
hen	 n. 母鸡， 雌禽
whoever	 pron. 谁； 无论谁； 究竟是谁
carbon	 n. 碳
unload	 v. 卸， 卸货； 下客； 退出子弹； 卸下胶卷
payment	 n. 支付， 支付的款项
specifically	 adv. 特别地， 特定地； 明确地， 具体地
controversial	 adj. 引起争论的， 有争议的
attain	 vt. 达到， 获得， 完成
trap	 n. 陷阱，捕捉器；圈套，诡计；困境 vt. 设陷阱捕捉； 诱骗
gallery	 n. 画廊， 美术馆； 楼座； 旁听席； 回廊， 走廊
hardware	 n. 五金器具； 硬件
deputy	 n. 副职， 副手； 代表， 代理人
warmth	 n. 暖和， 温暖； 热烈， 热情， 热心
supreme	 adj. 最高的， 最大的； 极度的， 最重要的
ambulance	 n. 救护车； 野战医院
priority	 n. 优先， 重点； 优先考虑的事
slope	 v. 倾斜 n. 倾斜；斜面
philosophy	 n. 哲学， 哲理， 人生哲学
preventive	 adj. 预防性的
creative	 adj. 创造性的， 创作的
junior	 adj. 年少的；资历较浅的 n. 晚辈； 三年级学生
allocate	 vt. 分配， 分派， 把…拨给
provide	 vt. 提供， 供给
standpoint	 n. 立场， 观点
worship	 n. 礼拜；崇拜；信奉 vt. 崇拜
lawn	 n. 草地， 草坪， 草场
primary	 adj. 首要的， 主要的； 基本的； 最初的， 初级的
log	 n. 原木，木料；航海日志 vt. 正式记录
solar	 adj. 太阳的， 日光的； 太阳能的
consume	 vt. 消费， 吃完， 喝光； 毁灭； 使着迷， 充满
formation	 n. 形成， 构成， 形成物； 队形， 排列
layer	 n. 层， 层次
triangle	 n. 三角
accidental	 adj. 偶然的， 意外的
assure	 vt. 使确信； 确保， 向…保证
consult	 vt. 请教； 查阅； 商议
theme	 n. 主题， 题目
smash	 v. 粉碎，打烂；狠打，猛击；破灭，失败；猛撞，猛冲 n. 破碎 ； 猛击， 猛撞； 轰动的演出， 巨大的成功
merely	 adv. 仅仅， 只不过
contradiction	 n. 矛盾， 不一致； 否认， 反驳
fuss	 n&vi. 忙乱； 大惊小怪， 小题大做； 烦恼， 过于忧虑
wealth	 n. 财富， 财产； 丰富
editor	 n. 编辑， 编者， 校订者
barrel	 n. 桶； 圆筒； 枪管
means	 n. 方法， 手段， 工具； 金钱， 财产
desire	 vt. 渴望；要求 n. 愿望； 欲望
survive	 vi. 活下来， 幸存 vt. 从…逃出，幸免于；从中挺过来；比…活得长
efficient	 adj. 效率高的； 有能力的
initial	 adj. 最初的，开始的 n. 首字母
unfortunately	 adv. 不幸地
consistent	 adj. 坚持的， 一贯的； 一致的， 符合的
reverse	 v. 撤销，推翻；反向，倒转；彻底改变 adj. 反向的， 相反的， 倒转的 n. 相反，对立面；反面，背面，后面；挫折，逆境
heterogeneity	 n. 异种， 异质， 不同成分
sword	 n. 剑， 刀
permanent	 adj. 永久的， 固定的
barely	 adv. 仅仅， 只不过， 几乎不
summarize	 vt. 概括， 概述， 总结
chap	 n. 小伙子， 男人， 家伙
facility	 n. 设备； 容易； 场所
beam	 n. 梁，横梁；束，柱；笑容，喜色 vt. 面露喜色； 定向发出， 播送
alliance	 n. 结盟， 联盟
civilization	 n. 文明， 文化； 开化
fiction	 n. 小说； 虚构， 杜撰
possession	 n. 有， 所有； 所有物
replace	 vt. 代替， 取代； 更换， 调换； 把…放回原处
appointment	 n. 任命； 约定； 约会； 委任的职位
hip	 n. 臀部， 髋部
merry	 adj. 欢乐的， 愉快的
dam	 n. 水坝，水堤；障碍物 vt. 筑堤挡住
pessimistic	 adj. 悲观的
commander	 n. 司令官， 指挥员
bloom	 v. 开花 n. 花，开花，开花期；青春焕发
major	 adj. 较大的；主要的；重大的 n. 少校； 专业
zone	 n. 地区， 区域， 范围
emphasis	 n. 强调； 重点， 重要性
interrupt	 v. 打断， 打扰， 中断
feasible	 adj. 可行的， 可能的
prescribe	 vt. 开； 吩咐采用； 规定， 指定
potential	 adj. 潜在的，可能的 n. 潜力， 潜能
bean	 n. 豆， 蚕豆
accustomed	 adj. 惯常的， 习惯的
combination	 n. 结合， 联合； 化合
obtain	 v. 获得； 通用， 流行； 存在
turbine	 n. 叶轮机， 汽轮机
repeatedly	 adv. 一再， 再三， 多次地
curiosity	 n. 好奇， 好奇心； 奇物， 奇事， 珍品
gross	 adj. 总的； 严重的； 粗俗的； 臃肿的
workshop	 n. 车间， 作坊， 创作室； 研讨会， 讲习班
resist	 v. 抵抗， 反抗， 抵制； 抗， 耐； 忍住， 拒受…的影响
liter	 n. 升
format	 n. 设计，安排；格式，样式，版式 vt. 使格式化
sacrifice	 v. 牺牲，舍身；献祭，供奉 n. 牺牲； 供奉； 祭品
illegal	 adj. 不合法的， 非法的
stimulate	 vt. 刺激， 激励， 激发
formal	 adj. 正式的， 礼仪上的
congratulate	 vt. 祝贺， 向…道喜
rainbow	 n. 虹， 彩虹
soak	 v. 浸， 泡
soar	 vi. 猛增， 剧增； 高飞， 升腾； 高涨； 高耸， 屹立
salesman	 n. 售货员， 推销员
interference	 n. 干涉， 干预， 阻碍
fibre	 n. 纤维， 纤维质
sustain	 vt. 保持， 使持续下去； 供养， 维持； 支持， 支撑； 经受， 遭受
entertain	 vt. 使欢乐； 招待， 请客
altitude	 n. 海拔， 高度； 高处
classify	 vt. 把…分类， 把…分级
ease	 n. 容易；舒适 vt. 缓和
critical	 adj. 决定性的； 批评的
colony	 n. 殖民地； 侨居地， 聚居地； 群体， 集群
