textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本::a book that contains information about a subject that people study, especially at school or college		a biology textbook::一本生物教科书	n::教科书，课本::coursebook, schoolbook						
discovery	dɪ'skʌvəri	dɪ'skʌv(ə)rɪ	n::发现；发觉::a fact or thing that someone finds out about, when it was not known about before	scientific discovery::科学发现¦discovery channel::探索频道¦great discovery::伟大的发现；好棒的发现¦discovery bay::愉景湾（位于香港大屿山东北部分）；发现湾（哥伦布第一脚踏上的土地）¦discovery learning::发现学习¦make a discovery::做出新的发现	I felt I'd made an incredible discovery.::我感到自己有了一个惊人的发现。	n::发现，发觉；被发现的事物::detection, occurrence, find	adj::discoverable::发现的；显露的；泄露的¦n::discoverer::发现者¦vi::discover::发现¦vt::discover::发现；发觉					
lady	'ledi	'leɪdɪ	n::女士；女子；举止文雅的女人，淑女::a woman of a particular type or age	old lady::n. 老妇人；[口]母亲¦first lady::第一夫人；总统夫人¦young lady::n. 小姐；女士；未婚妻；女朋友¦beautiful lady::美丽的女人¦leading lady::女主角；饰女主角的演员¦fat lady::胖夫人（《哈利波特》里的人物）¦little lady::亲爱的小姐；小女人¦lady friend::女友；情妇¦cleaning lady::清洁女工¦dragon lady::母夜叉；傲慢专横或残暴的妇女；有魅力的神秘妇女¦lady killer::使女人动心的男人¦lady luck::幸运；好机会¦lady first::女士优先¦lord and lady::贵族与小姐	young/old/elderly etc lady::年轻女子/上了年纪的女士/老妇人等¦She knows how to behave like a lady.::她知道怎么做一个淑女。	n::女士，夫人；小姐；妻子::Miss, Mrs, wife, madam	adj::ladylike::如淑女的；娴淑高贵的¦n::ladyship::夫人；小姐；贵妇身分¦vt::ladify::使…成为贵妇人					
officer	'ɔfɪsɚ	'ɒfɪsə	n::军官；官员::someone who is in a position of authority in the army, navy etc	police officer::n. 警官；警员¦executive officer::主任参谋，执行官¦chief executive officer::首席执行官；总裁¦customs officer::海关官员¦military officer::军官¦chief financial officer::财务总监；首席财务官¦commanding officer::n. 少尉至上校阶级之各指挥官¦senior officer::高级职员，高级军官¦operating officer::营运主管人¦chief operating officer::首席营运官¦naval officer::海军军官；海军军官海关税务助理海军官员¦security officer::安全官员；安全人员¦medical officer::n. （地方政府的）卫生官员；卫生干事¦loan officer::信贷员；贷款人员；信贷主管¦chief officer::大副¦staff officer::参谋；非军事工作的军官¦immigration officer::移民局官员；入境关员¦authorized officer::获授权人员；特准人员；授权签字人¦superior officer::上司；上级官员¦first officer::大副	a commanding officer of the SAS::英国空军特种部队的一名指挥官¦a prison officer ＃::典狱官员	n::军官，警官；公务员，政府官员；船长::wardroom, Irvine¦vt::指挥::captain, boss, lead, to command	adj::official::官方的；正式的；公务的¦adv::officially::正式地；官方地；作为公务员¦n::official::官员；公务员¦n::office::办公室；政府机关；官职；营业处¦n::officialdom::官场；官员（总称）；官僚作风¦n::officeholder::公务员；官员；办公人员¦vt::officialize::使官方化；使成为正式；置在政府机关管辖下					
believable	bi'li:vəbl	bɪ'liːvəbl	adj::可相信的；可信任的::something that is believable can be believed because it seems possible, likely, or real		a story with believable characters in it::人物真实可信的故事¦That scenario is entirely believable.::那样的设想完全是可信的。	adj::可信的::trusted, credible, authentic	n::believability::可信度					
embarrassing	ɪm'bærəsɪŋ		adj::使人害羞的（难堪的或惭愧的）::making you feel ashamed, nervous, or uncomfortable		She asked a lot of embarrassing questions.::她问了许多令人尴尬的问题。¦an embarrassing situation::令人难堪的处境		adj::embarrassed::尴尬的；窘迫的¦adv::embarrassingly::使人尴尬地；令人难堪地¦n::embarrassment::窘迫，难堪；使人为难的人或事物；拮据¦v::embarrassed::使...困窘；使...局促不安（embarrass的过去分词形式）¦vt::embarrass::使局促不安；使困窘；阻碍		em ＋ barr(看作bar， 酒吧) ＋ ass(蠢驴) → 在酒吧喝醉了表现得像头驴 → 使窘迫			
New Zealand			::新西兰::		Meat from New Zealand is frozen and brought to England in special ships.::从新西兰运来的肉被冷冻保藏，用特殊的船运往英国。¦If you live in Australia, the US, the UK, Canada or New Zealand, then you live in the same place as me; Fat City.::如果你是生活在澳大利亚，美国，加拿大或者新西兰，那么你其实就是和我住在同一个地方：肥胖国。¦Unfortunately, we know that one effect of climate change in New Zealand will be more extreme weather like this.::遗憾的是，我们知道，气候变化在新西兰的影响之一是会有更多像这样的极端天气。							
Italy	'ɪtəlɪ	'ɪtəlɪ	::意大利::	little italy::小意大利（美国大城市的意大利移民区）	They decided to swan around Italy this summer.::他们决定今年夏天去意大利游逛。¦French troops negotiated the Alps and went on the road in Italy.::法军成功地越过了阿尔卑斯山脉，行军在意大利的国土上。¦All the newspapers reported on the football match of France versus Italy.::所有的报纸都报道了法国队对意大利队的足球比赛。							
Mars	mɑrz	mɑːz	::火星::the small red  planet  that is fourth in order from the Sun and is nearest the Earth		the enormous volcanoes known to exist on Mars::已知在火星上存在的大量火山	n::火星；战神::Red Planet			古罗马神话里的战神马尔斯(Mars)脾气火爆， 出了名的能惹是生非， 用他的名字来命名火星， 再恰当不过了。			
Carl	kɑ:l		::卡尔（男名）::	carl landry::n. 卡尔兰德里（美国篮球明星）¦carl lewis::卡尔刘易斯（美国田径名将）	Call me Carl.::叫我卡尔吧。							
Orson	'ɔ:sən	'ɔ:sən	::奥森::									
litter	'lɪtɚ	'lɪtə	v::使凌乱；把...弄乱；乱扔（垃圾）::if things litter an area, there are a lot of them in that place, scattered in an untidy way¦n::垃圾；废弃物::waste paper, cans etc that people have thrown away and left on the ground in a public place		Clothes littered the floor.::衣服扔了一地。¦People who litter often have no pride in the area.::经常随地乱扔垃圾的人没有地区荣誉感。¦People who drop litter can be fined in some cities.::在有些城市，乱扔垃圾的人会被罚款。	n::垃圾；轿，担架；一窝（动物的幼崽）；凌乱::refuse, garbage, junk, rubbish, trash¦vi::产仔；乱扔废弃物::give birth	n::litterbug::在街道或公共场所乱丢垃圾的人		把little的“l”乱丢， 错拿成“r” → 乱扔东西			
bottom	'bɑtəm	'bɒtəm	n::底部；最下部::the lowest part of something	at the bottom::在底部；在底端¦at the bottom of::在…的底部¦from top to bottom::完完全全，从头到脚¦bottom line::结果；概要；帐本底线¦on the bottom::在底部¦top and bottom::上下；顶层及底层¦bottom hole::底孔， 井底；下部孔；底部炮眼¦at bottom::实际上（等于at the bottom）¦bottom plate::底板；主夹板；下模托板¦bottom layer::底层¦hit bottom::向下探底，得到结论¦from the bottom up::adv. 从下到上¦bottom surface::底面；反面¦sea bottom::海底；海床¦bottom up::颠倒，倒置；[俗]干杯¦flat bottom::n. 平底；平匠¦tank bottom::槽底¦bottom board::底板；浇注底板；垫板¦rock bottom::最低点¦bottom part::底部；下模	The drugs had been hidden in a suitcase with a false bottom.::毒品藏在一个带假底板的行李箱里。	n::底部；末端；臀部；尽头::basis, terminal, base, extreme	adj::bottomless::无底的；深不可测的；难解的；取之不尽的¦adj::bottomed::底的；（处于）底层的¦v::bottomed::给（鞋子）装底；查明…的原因；使到达底部（bottom的过去分词）					
fisherman	'fɪʃɚmən	'fɪʃəmən	n::渔民；钓鱼的人::someone who catches fish as a sport or as a job		The Algarve is a paradise for fishermen whether river anglers or deep-sea fishermen.::阿尔加维对河边的垂钓者或深海的渔民都是一个天堂。	n::渔夫；渔人::peterman			fisher(捕鱼) ＋ man → 渔民， 渔夫			
coal	kol	kəʊl	n::煤；煤块::a hard black mineral which is dug out of the ground and burnt to produce heat	coal mine::煤矿，煤矿坑¦coal mining::煤矿开采¦coal seam::煤层¦coal industry::煤炭工业¦coal preparation::选煤¦pulverized coal::煤粉；[机]粉煤¦coal bed::煤层；煤床¦coal gas::煤气；煤炭气¦coal production::煤产量¦coal gasification::煤的气化¦coal tar::n. [化]煤焦油¦coal face::n. 煤的采掘现场；因开采而露出的煤面¦coal ash::煤灰¦coal gangue::煤矸石¦coal field::煤田¦coking coal::焦煤；炼焦煤¦coal dust::煤尘；煤粉¦raw coal::原煤¦coal measures::[地]煤层¦coal slurry::煤泥	Put some coal on the fire.::往火里加点煤。¦the coal mining industry::采煤业¦a lump of coal::一块煤	vt::给…加煤；把…烧成炭::char¦n::[矿物]煤；煤块；木炭::charcoal, xylanthrax						
public	'pʌblɪk	'pʌblɪk	adj::公众的；公共的::relating to all the ordinary people in a country, who are not members of the government or do not have important jobs¦n::民众；百姓::ordinary people who do not work for the government or have any special position in society	in public::adv. 公开地，当众¦public health::n. 公共卫生；公共卫生设施¦public security::公共安全¦public opinion::民意；公众舆论¦public service::公共服务，公益服务；公用设施¦public interest::公共利益¦general public::公众¦public policy::国家政策¦public transportation::公共交通，公共运输；公共交通工具¦public transport::公交车¦public administration::公共行政；公共管理；行政管理¦public bidding::公开投标¦public library::公共图书馆；公立图书馆¦public finance::财政学¦public welfare::公共福利，公用福利设施；社会福利¦invite public bidding::（公开）招标¦public space::公共空间；银行营业厅¦public order::公共秩序；社会治安¦public housing::公共住房，政府为低收入者所建的住房¦public sector::国营部门经济；政府资助的企事业；社会经济的公有部份	We have to show that publishing this story is in the public interest (= helpful or useful to ordinary people ) .::我们必须证明刊登这篇报道有利于公众。¦full public access to information::公众对信息的充分知情权¦Public opinion is gradually shifting in favor of the imprisoned men.::舆论渐渐倾向于同情入狱的男子。¦a public telephone::公用电话¦The meeting will be open to the general public .::会议将向公众开放。	adj::公众的；政府的；公用的；公立的::governmental, commonable¦n::公众；社会；公共场所::society, ambiente	adv::publicly::公然地；以公众名义¦n::publicity::宣传，宣扬；公开；广告；注意¦n::publication::出版；出版物；发表¦n::publicist::国际法学家；宣传人员；公法学家¦vt::publicize::宣传；公布¦vt::publicise::宣传，宣扬；公布，颂					
