adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着::a boat that is adrift is not fastened to anything or controlled by anyone		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。	adj::漂泊的；漂浮着的::vagrom, anchorless						
magnetic	mæg'nɛtɪk	mæg'netɪk	adj::地磁的；有磁性的；有吸引力的::concerning or produced by  magnetism 	magnetic field::磁场¦magnetic resonance::磁共振；磁谐振¦magnetic separation::磁选；磁性分离；磁力分离；磁力选矿¦magnetic resonance imaging::磁共振成象¦nuclear magnetic resonance::核磁共振¦magnetic flux::磁通量¦magnetic force::[物]磁力¦magnetic material::磁性材料¦magnetic circuit::磁路¦magnetic induction::磁感应，磁感应强度¦magnetic bearing::（电）磁向位¦magnetic separator::磁力分离器¦magnetic tape::磁带，录音带¦magnetic particle::磁粉；磁粒子，磁秽¦magnetic suspension::磁悬浮，悬磁性¦magnetic powder::磁粉¦magnetic levitation::磁悬浮¦external magnetic field::外部磁场，外磁场¦magnetic flux density::磁感应强度；磁通密度¦magnetic susceptibility::磁化率	magnetic forces::磁力	adj::地磁的；有磁性的；有吸引力的::geomagnetic	adj::magnetized:: 已磁化的¦adv::magnetically:: 有磁力地；有吸引力地¦n::magnetism:: 磁性，磁力；磁学；吸引力¦v::magnetized:: 磁化（magnetize的过去分词）；吸引¦vi::magnetize:: 磁化；受磁¦vt::magnetize:: 吸引；使磁化¦vt::magnetise:: 使……磁化；使……有磁力					
magnify	'mæɡnɪfaɪ	'mægnɪfaɪ	v::放大；赞美；夸大::to make something seem bigger or louder, especially using special equipment		At the Sheffield arena, the speakers were magnified ten times on a giant screen.::在谢菲尔德体育馆，演讲者在一个巨大的屏幕上被放大了十倍。¦A public address system magnifies all the little noises and coughs.::扩音系统会放大任何细小的噪音和咳嗽声。	vt::放大；赞美；夸大::praise, celebrate, bless¦vi::放大；有放大能力::enlarge, zoom up	adj::magnified:: 放大的¦n::magnification:: 放大；放大率；放大的复制品¦n::magnifier:: [光] 放大镜；[电子] 放大器¦v::magnified:: 放大；夸张（magnify的过去分词）					
mahogany	mə'hɑgəni	mə'hɒgənɪ	n::桃花心木，红木；红褐色::a type of hard reddish brown wood used for making furniture, or the tree that produces this wood		...mahogany tables and chairs.::…红木桌椅。	n::桃花心木，[木]红木；红褐色::sipo, rosewood						
maiden	'medn	'meɪd(ə)n	adj::未婚的，处女的；初次的::The maiden voyage or flight of a ship or aircraft is the first official journey that it makes¦n::少女；处女::a young girl, or a woman who is not married	maiden name::（女子的）婚前姓；娘家姓¦iron maiden::铁娘子；铁处女（英国伦敦的重金属乐队）	In 1912, the Titanic sank on her maiden voyage.::1912年，泰坦尼克号首次航行时沉没。	adj::未婚的，处女的；初次的::unwed, virgin¦n::少女；处女::damoiselle, jill	adj::maidenlike:: 柔和的；处女般的¦adj::maidenly:: 文雅的；谨慎的；像处女的¦n::maid:: 女仆；少女¦n::maidenhead:: 处女膜；处女性¦n::maidenhood:: 处女性；处女时代¦n::maidenliness:: 处女般；谨慎；柔和¦vi::maid:: 当女仆¦vt::maid:: 侍候；做新娘的女傧相					
mainstream	'menstrim	'meɪnstriːm	n::主流::the most usual ideas or methods, or the people who have these ideas or methods		Genet started as a rebel, but soon became part of the literary mainstream.::热内起初很叛逆，但不久就回归了文学主流。	n::主流::artery, main river						
maintain	men'ten	meɪn'teɪn; mən'teɪn	v::维持；继续；维修；主张；供养::to make something continue in the same way or at the same standard as before	maintain in::维持…；保持…¦maintain order::维持秩序¦maintain world peace::维护世界和平¦maintain contact with::与...保持联系¦maintain discipline::维持纪律	Careers Officers maintain contact with young people when they have left school.::年轻人离开学校以后，职业指导员和他们保持联系。¦Britain wants to maintain its position as a world power.::英国想保持其世界强国的地位。¦A lot depends on building and maintaining a good relationship with your customers.::和顾客建立并保持良好关系很重要，很多事情要取决于此。¦The hotel prides itself on maintaining high standards.::这家酒店以保持高标准而自豪。¦How can we maintain control of spending?::我们如何保持对开支的控制？	vt::维持；继续；维修；主张；供养::pursue, submit, sustain, advocate, service	adj::maintainable:: 可维持的；可主张的；可维修的¦n::maintenance:: 维护，维修；保持；生活费用¦n::maintainer:: 维修工；保持器					
maize	mez	meɪz	adj::黄色的，玉米色的::¦n::玉米；黄色，玉米色::a tall plant with large yellow seeds that grow together on a  cob (= long hard part )  , and that are cooked and eaten as a vegetable	maize starch::玉米淀粉；玉蜀黍淀粉¦maize straw::玉米秸秆；玉米秆¦maize yellow::玉米黄¦maize meal::玉米粉，玉米面	The researchers say it should be possible to transfer this process to rice by inserting genes from maize or from wild relatives of rice that also use it.::科学家说，通过把来自玉米或者具有此功能的水稻野生亲属的基因插入水稻中，就有可能让水稻也具有这一功能。	adj::黄色的，玉米色的::yellow, xanthic¦n::[作物]玉米；黄色，玉米色::yellow, zea mays						
majesty	'mædʒəsti	'mædʒɪstɪ	n::威严；最高权威，王权；雄伟；权威::the quality that something big has of being impressive, powerful, or beautiful	your majesty::陛下		n::威严；最高权威，王权；雄伟；权威::authority, crown	adj::majestic:: 庄严的；宏伟的					
major	'medʒɚ	'meɪdʒə	adj::主要的；重要的；主修的；较多的::having very serious or worrying results¦n::[人类] 成年人；主修科目；陆军少校::an officer of middle rank in the British or US army or  marine s  ,or in the US air force¦v::主修::	major in::主修¦major factor::主要因素¦major part::主要部分；重要部件¦english major::英语专业¦major component::主要部件；主要元件¦major equipment::主要设备¦major product::主要产品¦major event::重大事件；主要事件¦major function::主要功能；优函数¦major industry::重点工业；大型工业¦major subject::专业；主科¦major key::大调；主键值¦major earthquake::大地震，主震¦major league::职业体协；职业性运动联盟¦major operation::[医]大手术¦major general::[军]少将¦major element::主要元素¦major gene::主要基因；知基因；柱因¦major axis::长轴；主轴；长径；强轴¦pectoralis major::n. [解]大胸肌	There is a major problem with parking in London.::在伦敦，停车是个很大的问题。¦The loss of their goalkeeper through injury was a major setback for the team.::守门员因伤缺阵使该队的实力大打折扣。¦He underwent major heart surgery recently.::他最近做了心脏大手术。¦It could have sparked a major confrontation.::此事险些导致一场严重的冲突。	adj::主要的；重要的；主修的；较多的::crucial, important, primary, considerable, central¦n::[人类]成年人；主修科目；陆军少校::adult	n::majority:: 多数；成年					
make	mek	meɪk	v::使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成::to produce something, for example by putting the different parts of it together¦n::制造；构造；性情::	make sure::确信；证实¦make up::弥补；组成；化妆；整理¦make full use of::充分利用¦make friends with::与…交友¦make up for::补偿，弥补¦make a difference::有影响，有关系¦make good use of::充分利用；很好地使用¦make out::理解；辨认出；说明；填写；设法应付¦make a decision::作决定¦make for::导致；有助于；走向¦make of::了解；用…制造¦make it possible::使它变成可能¦make in::加入，进入；干涉别人¦make a living::谋生，维持生活¦make life::求活；创造人生；有意义的活¦make an appointment::约会，预约¦make a mistake::犯错误¦make contribution::贡献¦make decision::作决定；下决心¦make friend::交朋友；建立友谊	I’m going to show you how to make a box for your tools.::我来教你怎么做一个箱子存放工具。¦A family of mice had made their nest in the roof.::一窝老鼠在屋顶上安了家。¦She made her own wedding dress.::她的婚纱是自己做的。¦The company has been making quality furniture for over 200 years.::这家公司制作优质家具有两百多年的历史了。¦They met while they were making a film.::他们是在拍电影时认识的。¦Make a list of all the things you need.::把你需要的所有物品列一份清单。	vt::使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成::earn, acquire, prepare, provide, expect¦vi::开始；前进；增大；被制造::proceed, progress, increase¦n::制造；构造；[心理]性情::formation, manufacture, constitution, fabric, machining	adj::made:: 成功的；创造的¦adj::makable:: 可制作的；可标记的¦n::maker:: 制造者；造物主；出期票人¦n::making:: 发展；制造；形成¦v::made:: 做，使，安排（make的过去式和过去分词）¦v::making:: 制作（make的现在分词）					
malady	'mælədi	'mælədɪ	n::弊病；疾病；腐败::an illness		He was stricken at twenty-one with a crippling malady.::二十一岁时腿瘸疾病让他受到重击。	n::弊病；疾病；腐败::corruption, sickness, complaint						
malaria	mə'lɛrɪə	mə'leərɪə	n::[内科] 疟疾；瘴气::a disease that is common in hot countries and that you get when a type of  mosquito  bites you	falciparum malaria::[医]恶性疟；热带疟	We know how to prevent malaria.::我们知道怎样去阻止疟疾。¦The malaria victim fevers intermittently.::疟疾病人间歇地发热。	n::[内科]疟疾；瘴气::paludism, agrue	adj::malarial:: 患疟疾的；毒气的					
malice	'mælɪs	'mælɪs	n::恶意；怨恨；预谋::the desire to harm someone because you hate them		James bore her no malice (= did not feel any malice towards her ) .::詹姆斯对她并无恶意。	n::恶意；怨恨；预谋::spite, malevolence	adj::malicious:: 恶意的；恶毒的；蓄意的；怀恨的¦adj::malignant:: [医] 恶性的；有害的；有恶意的¦adj::malevolent:: 恶毒的；有恶意的；坏心肠的¦adv::maliciously:: 有敌意地，恶意地¦adv::malevolently:: 恶意地；伤害地¦adv::malignantly:: 怀恶意¦n::malignant:: 保王党员；怀恶意的人¦n::malignancy:: 恶性（肿瘤等）；恶意¦n::malevolence:: 恶意，怨恨；狠毒¦n::maliciousness:: 恶意¦n::malignity:: 恶意；怨恨；狠毒					
mall	mɔl	mæl; mɔːl; mɒl	n::购物商场；林荫路；铁圈球场::a large area where there are a lot of shops, usually a covered area where cars are not allowed	shopping mall::大商场，大型购物中心¦pedestrian mall::步行街¦national mall::国家广场¦mall rat::逛商厦迷；爱逛商店的年轻人	Let’s meet at the mall and go see a movie.::我们在购物中心碰头，然后去看电影吧。¦a huge new shopping mall::一家新开的大型购物中心	n::购物商场；[建]林荫路；铁圈球场::shopping arcade						
maltreat	,mæl'trit	mæl'triːt	v::虐待；滥用；粗暴对待::to treat a person or animal cruelly		The hostages said they were hungry but had not been maltreated.::人质说他们挨了饿，但没有受到虐待。	vt::虐待；滥用；粗暴对待::abuse, rough, strain	n::maltreatment:: 虐待；粗暴对待					
mammal	'mæml	'mæm(ə)l	n::[脊椎] 哺乳动物::a type of animal that drinks milk from its mother’s body when it is young. Humans, dogs, and whales are mammals.	marine mammal::海产哺乳动物	A whale is a kind of mammal.::鲸是一种哺乳动物。¦The whale is a mammal.::鲸鱼是哺乳动物。¦The problem with that theory is that no other mammal has resorted to this method of cooling down.::这一理论的问题在于，没有其他的哺乳动物采取了这种降低体温的方式。	n::[脊椎]哺乳动物::suckler	adj::mammalian:: 哺乳类动物的¦n::mammalian:: 哺乳类¦n::mammalogy:: [脊椎] 哺乳动物学					
management	'mænɪdʒmənt	'mænɪdʒm(ə)nt	n::管理；管理人员；管理部门；操纵；经营手段::the activity of controlling and organizing the work that a company or organization does	management system::管理系统；经营责任制¦quality management::质量管理¦project management::项目管理；专案管理¦information management::信息管理；资讯管理¦risk management::风险管理¦business management::企业管理；商务管理¦scientific management::科学管理¦property management::物业管理；资产管理；物业管理专员¦resource management::资源管理¦management information::管理信息¦enterprise management::企业管理¦financial management::财务管理；金融管理¦safety management::安全管理¦management level::管理水平；管理[层]级¦resources management::资源管理；资源治理¦management information system::管理信息系统¦knowledge management::n. 知识管理¦production management::生产管理¦human resource management::人力资源管理；人力调配¦cost management::成本管理	a lack of management skills::缺乏管理技巧¦a management consultant::一个管理顾问¦management training courses::管理培训课程	n::[管理]管理；管理人员；管理部门；操纵；经营手段::governance, supervision, regulation, control, conservancy	adj::managerial:: [管理] 管理的；经理的¦adj::manageable:: 易管理的；易控制的；易办的¦n::manager:: 经理；管理人员¦n::man:: 人；男人；人类；丈夫；雇工¦n::manageability:: 易处理；易办；顺从¦n::manageress:: （英）女经理；（英）女管理人¦n::managership:: [经管] 经理的地位¦vi::manage:: 处理；应付过去¦vt::manage:: 管理；经营；控制；设法¦vt::man:: 操纵；给…配置人员；使增强勇气；在…就位					
