ability	ə'bɪləti	ə'bɪlɪtɪ	n::能力，能耐；才能::the state of being able to do something	innovation ability::创新能力¦ability for::在…的能力¦learning ability::学习能力¦practical ability::实践能力；实际能力¦technical ability::技术能力¦reading ability::阅读能力¦management ability::管理能力¦writing ability::写作能力；书写能力¦working ability::工作能力，加工能力¦physical ability::体能，体质能力；身体能力¦cognitive ability::认知能力¦service ability::工作能力¦ability to pay::支付能力¦combining ability::配合力¦develop ability::发挥才能¦executive ability::执行力；行政能力¦natural ability::本能¦administrative ability::行政能力；经营才能¦unique ability::独有能力¦adaptive ability::自适应能力	The test measures your mathematical ability.::这种测试考查的是数学能力。	n::能力，能耐；才能::capacity, competence, talent, quality, power			 来自able(adj. 能够…的)			
fashion	'fæʃən	'fæʃn	n:: 流行款式， 时兴式样；　时尚，　时兴::a style of clothes, hair etc that is popular at a particular time	fashion design::服装设计；时尚设计¦in fashion::合于时尚，流行¦fashion show::时装秀；时装表演会¦fashion accessories::时尚饰品；流行配件¦new fashion::新时尚；新潮流¦fashion designer::时装设计师¦fashion style::时样，服装风格；流行款式¦out of fashion::过时的；不流行的¦high fashion::昂贵高雅的流行款式¦fashion model::时装模特儿¦fashion color::流行色¦after a fashion::adv. 勉强；不太好¦fashion from::由…做成¦old fashion::老式样；古典；古老品系¦in this fashion::照这样¦fashion statement::时尚宣言¦fashion photography::时装摄影；样式摄影术¦in a fashion::马马虎虎；勉强；多少还…一点¦follow the fashion::赶时髦，追随时尚¦come into fashion::流行；开始风行	Young people are very concerned with fashion::年轻人很关注时尚。¦Hats like that just aren’t the fashion.::那样的帽子不流行。	n::时尚；[服装]时装；样式；时髦人物::mode, style, type¦vt::使用；改变；做成…的形状::make use of, employ, influence, exercise, shift	adj::fashionable:: 流行的；时髦的；上流社会的¦adv::fashionably:: 赶时髦地；按照流行地¦n::fashioner:: 裁缝；创造者¦n::fashionmonger:: 创流行的人；赶时髦的人					
medical	'mɛdɪkl	'medɪkl	adj:: 医学的， 医疗的::relating to medicine and the treatment of disease or injury	medical treatment::治疗，医疗¦medical equipment::医疗设备；医疗器材¦medical service::医疗服务¦medical care::医疗护理¦medical science::医学科学¦medical college::医学院¦medical insurance::医疗保险¦medical university::医科大学¦medical school::医学院；医学专科学校¦medical staff::医务人员¦medical research::医学研究；医疗研究¦medical ethics::医德；医学伦理学¦medical record::病历卡；病史档案¦medical device::医疗设备；医疗器材；人体医疗配件¦medical technology::医学技术，医疗技术；医学检验¦medical practice::医疗实践¦medical examination::体格检查，健康检查¦medical association::医学会；医疗协会¦medical instruments::医疗仪器；医学器具¦medical apparatus::医疗器械，医疗设备	medical research::医学研究¦medical staff::医务人员¦a medical student::医科学生¦a patient’s medical history::患者的病史	adj::医学的；药的；内科的::iatrical¦n::医生；体格检查::doctor, hakeem	adj::medicative:: 有药效的；可治病的；有治疗作用的¦adv::medically:: 医学上地；医药上地¦n::medicine:: 药；医学；内科；巫术¦n::medication:: 药物；药物治疗；药物处理¦n::medic:: 医师；医科学生；苜蓿属植物（等于medick）¦vt::medicine:: 用药物治疗；给…用药¦vt::medicate:: 用药治疗；加药品于					
friendship	'frɛndʃɪp	'frendʃɪp	n:: 友谊， 友好::a relationship between friends	friendship store::友谊商店¦friendship hotel::友谊宾馆¦friendship group::友谊型群体；友好群体；社交小组	her close friendship with her aunt::她与姑母的亲密友谊¦a lifelong friendship::一生的友谊¦The two boys formed a deep and lasting friendship .::这两个男孩子建立了深厚持久的友谊。¦He and Bob struck up a friendship (= began to be friends ) .::他和鲍勃交了朋友。	n::友谊；友爱；友善::fellowship, companionship			 friend(朋友)+ship(名词后缀， 表示某种关系或状态)→友谊			
till	tɪl	tɪl	prep&conj:: 直到::until		I didn’t have a boyfriend till I was 17.::我直到17岁才有男朋友。¦The shop’s open till nine o’clock on Fridays.::这家商店周五营业到9点。	n::[地理][水文]冰碛；放钱的抽屉；[会计]备用现金::glacial drift¦prep::直到::unto, hasta¦vt::耕种；犁::farm, plant crops¦vi::耕种；耕耘::plant crops	adj::tillable:: 可耕种的；适于耕种的¦n::tillage:: 耕作，耕种					
fridge	frɪdʒ	frɪdʒ	n:: 电冰箱::a large piece of electrical kitchen equipment, used for keeping food and drinks cool		No, but a fridge and a stove.::没有，但有一台冰箱和一个电炉。¦Put it somewhere like on your cupboard or fridge so you see it every day.::把它放在诸如你的碗柜或冰箱上，这样你每天都能够看到它了。¦It can be anything: spoiled milk from the back of your fridge right down to tar and feathers.::它可以是任何玩意儿：从你冰箱后面那些变质的牛奶到沥青和羽毛。	n::电冰箱::electric refrigerator			 冰箱(fridge)里的格层像路桥(bridge)			
lie		laɪ	v:: [lay-lain, lying] 躺， 平放； 位于； 处于(某种状::if a town, village, etc lies in a particular place, it is in that place	lie in::在于…；睡懒觉；待产¦lie down::躺下¦lie on::位于；压迫；依赖；折磨¦lie with::是…的权利；是…的责任；取决于¦lie low::潜伏；平卧；保持沉默¦tell a lie::撒谎¦lie about::无所事事；闲荡¦white lie::无恶意的谎言；小谎话¦lie ahead::即将来临；在前面¦lie in bed::卧床¦lie algebra::李代数，李氏代数¦lie fallow::休闲；潜伏¦lie idle::被搁置不用¦lie behind::为某事之理由，是……的原因¦lie back::倚靠在椅上；向后靠，休息¦lie detector::测谎仪¦big lie::大骗局，弥天大谎¦live a lie::做人虚伪；过欺骗人的生活¦lie under::蒙受；受…的统治¦lie by::躺在…边上；被搁置不用；近在手边	The town lies in a small wooded valley.::该城镇坐落于一个林木茂盛的山谷中。¦The Tasman Sea lies between Tasmania and Australia.::塔斯曼海位于塔斯马尼亚和澳大利亚之间。	vi::躺；说谎；位于；展现::sit, tell a story¦n::谎言；位置::location, situation, site, fiction, leasing	adj::lay:: 世俗的；外行的¦adj::lying:: 说谎的¦n::lay:: 位置；短诗；花纹方向¦n::lying:: 说谎¦n::laying:: 敷设；布置；产卵数；瞄准¦n::lied:: 德国抒情歌曲，浪漫曲¦v::lay:: 躺；位于（lie的过去式）¦v::laying:: 放置；产卵（lay的ing形式）¦v::lied:: 撒谎（lie的过去式）¦vi::lay:: 下蛋；打赌¦vt::lay:: 躺下；产卵；搁放					
anymore	ɛnɪ'mɔr	'eniˌmɒ:(r)	adv:: 再， 更， 还； 目前， 现在， 今后::not any longer		Nick doesn’t live here anymore.::尼克不再住在这里了。¦She told me not to phone her anymore.::她叫我不要再给她打电话。	adv::再也不，不再::not any longer, never again						
smell	smɛl	smel	n::气味::the quality that people and animals recognize by using their nose¦v::闻出，闻到，嗅到::to notice or recognize a particular smell	smell of::有…的气味；闻出…的味道¦sweet smell::闻起来香¦sense of smell::嗅觉¦bad smell::坏味道，坏气味¦fishy smell::鱼腥味，鱼臭¦smell the flowers::放松一下，休息一会儿¦smell the coffee::清醒过来，认识到事物的本质¦smell out::嗅出；察觉	What’s that horrible smell?::是什么味道，这么难闻？	vi::[生理]嗅，闻；有…气味::snuff at, sniff at¦vt::[生理]嗅，闻；察觉到；发出…的气味::nose, snuff at¦n::气味，[生理]嗅觉；臭味::nose, wind, odor	adj::smelly:: 有臭味的，发臭的¦n::smelt:: 香鱼；胡瓜鱼¦n::smelling:: 嗅诊；嗅气味¦v::smelt:: 闻（smell的过去式和过去分词）¦v::smelling:: 闻；发觉；发出气味（smell的ing形式）¦vi::smelt:: 熔炼，精炼¦vt::smelt:: 熔炼，冶炼；精炼					
unable	ʌn'ebl	ʌn'eɪbl	adj:: 不能的， 不会的::not able to do something	unable to establish::不能成立	The military may feel unable to hand over power to a civilian president next year.::军方可能觉得无法在明年把政权移交给一位民选总统。	adj::不会的，不能的；[劳经]无能力的；不能胜任的::incapable, powerless			 un(不)+able(能够的)→不能的			
late	let	leɪt	adj:: 迟的， 晚的； 末期的， 晚期的； 最近的， 新近的； 已故的； 以前的::arriving, happening, or done after the time that was expected, agreed, or arranged	of late::adv. 最近；近来¦late for::迟到；来不及…¦late stage::末期；后期；晚期¦late at night::在深夜；深更半夜¦late on::后来；以后；过后¦late in the day::在那天稍晚些时候；[口]为时太晚，失时机¦late night::深夜¦stay up late::熬夜；睡得很晚¦better late than never::亡羊补牢；迟做比不做好¦late autumn::深秋；晚秋；秋日和¦sleep late::睡懒觉¦late summer::晚夏¦late arrival::迟到¦late fee::滞纳金；过时附加费¦late blight::晚疫病¦late show::午夜场，深夜秀¦late shipment::延迟装运；前批装船货物¦late teens::少年晚期；20岁左右的青年男女¦late model::新型¦late bloomer::开花晚的植物；智力发展晚的人	Sorry I’m late – I overslept.::对不起，来晚了——我睡过头了。¦The train was even later than usual.::火车到得甚至比平时还晚。¦We apologize for the late departure of flight AZ709.::我们为AZ709航班延误起飞表示歉意。¦There are penalties if loan repayments are late.::逾期偿还贷款会被处以罚金。	adj::晚的；迟的；已故的；最近的::recent, current, last, nearest¦adv::晚；迟；最近；在晚期::recently, newly, deep, last	adj::latish:: 稍迟的；稍后的¦adv::lately:: 近来，不久前¦adv::latish:: 稍迟地；稍晚¦n::lateness:: 晚，迟					
ham	hæm	hæm	n:: 火腿::the upper part of a pig’s leg, or the meat from this that has been preserved with salt or smoke	ham sandwich::火腿三明治¦preserved ham::腊肉¦ham radio::业余无线电¦ham and egg::火腿肠；火腿鸡蛋	a ham sandwich::火腿三明治¦a seven-pound ham::七磅重的火腿	n::[食品]火腿；业余无线电爱好者；蹩脚演员::amateur radio¦vi::表演过火::overplay¦adj::过火的；做作的::affected, stagey	adj::hammy:: 表演过火的；火腿味的¦n::hamming:: 加重平衡；加重平均¦v::hamming:: 过火地表演；拙劣做作地表演（ham的ing形式）					
school	skul	skuːl	n:: 学校； 学院， 系； 学业， 上课； 学派， 流派::a place where children are taught	in school::在求学¦at school::在学校；在上课；在求学¦high school::中学¦go to school::v. 上学¦middle school::n. 中学¦after school::放学后¦primary school::小学¦in the school::在学校¦secondary school::中等学校¦elementary school::小学¦junior high school::初中¦senior high school::高中¦graduate school::研究所，研究院¦new school::新学校；新学院¦medical school::医学院；医学专科学校¦business school::商业学校¦vocational school::n. 职业学校¦junior middle school::初中¦school year::学年¦law school::法学院；法律学校	His mother always used to pick him up from school.::他母亲以前一直去学校接他。	n::学校；学院；学派；鱼群::academy, college¦vt::教育::breed, to educate	n::schooling:: 学校教育；学费¦v::schooling:: 教育（school的ing形式）；培养					
continue	kən'tɪnju	kən'tɪnjuː	v:: 继续； 延续； 延伸::to not stop happening, existing, or doing something	continue with::继续做¦continue to do::继续做某事¦continue doing::一直做（同一件事）¦to be continue::未完待续	He will be continuing his education in the US.::他将在美国继续求学。¦I felt too sick to continue.::我感觉很难受，无法继续下去了。	vi::继续，延续；仍旧，连续::run on, carry on with	adj::continuous:: 连续的，持续的；继续的；连绵不断的¦adj::continual:: 持续不断的；频繁的¦adj::continued:: 继续的；持久的¦adj::continuing:: 继续的；持续的；连续的¦adj::continuant:: 连续音的¦adj::continuative:: 继续的¦adv::continuously:: 连续不断地¦n::continuity:: 连续性；一连串；分镜头剧本¦n::continuation:: 继续；续集；延长；附加部分；扩建物¦n::continuance:: 持续；停留；续篇；诉讼延期¦n::continuant:: 连续音¦v::continued:: 继续；逗留；维持原状（continue的过去分词）					
