internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师::a job that lasts for a short time, that someone, especially a student, does in order to gain experience	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。	n::实习生；（美）实习期；实习医师职位::trainee, probationer	n::intern:: 实习生，实习医师¦n::interne:: 实习医师¦vi::intern:: 作实习医师¦vt::intern:: 拘留，软禁					
millennium	məˈlɛniəm	mɪˈlɛnɪəm	n::千年期，千禧年；一千年，千年纪念；太平盛世，黄金时代::a period of 1,000 years	millennium development goals::千年发展目标（millennium development goal的复数）¦millennium bug::千年虫；千禧虫¦china millennium monument::中华世纪坛	people who have inhabited this land for millennia::在这片土地上已经居住了数千年的人们	n::千年期，千禧年；一千年，千年纪念；太平盛世，黄金时代::chiliad, Golden Age	adj::millennial:: 一千年的；千禧年的¦adj::millenarian:: 一千年的；千禧年的¦adj::millenary:: 一千个的；一千年的¦n::millenarian:: 千禧年信徒；相信太平盛事的人¦n::millenary:: 千年；一千					
millet	'mɪlɪt	'mɪlɪt	n::小米；粟；稷；黍的子实::the small seeds of a plant similar to grass, used as food	foxtail millet::谷子，粟¦broom corn millet::黍， 稷		n::[粮食]小米；[作物]粟；稷；黍的子实::milet						
milligramme	'miligræm		n::毫克（等于milligram）；公厘::									
millimetre	'mili,mi:tə		n::毫米；公厘::a unit for measuring length. There are 1,000 millimetres in one metre.		The creature is a tiny centipede, just 10 millimetres long.::那个生物是一只很小的蜈蚣，只有10毫米长。	n::毫米；公厘::strich, milimetre	n::millimeter:: [计量] 毫米					
million	'mɪljən	'mɪljən	n::百万；无数::the number¦adj::百万的；无数的::¦num::百万::the number	in a million::(人、物)千里挑一的，无与伦比的¦thanks a million::非常感谢¦one in a million::百里挑一；极稀有的人或事¦feel like a million::[口语]感到精力十分充沛¦make a million::发大财¦a million to one::可能性极小；百万分之一¦parts per million::百万分之；兆比率¦parts per million (ppm)::百万分之一	The book sold more than a million copies.::这本书售出了一百多万册。¦£37 million of new investment::3,700万英镑的新投资额	n::[数]百万；无数::mega, innumerability¦adj::[数]百万的；无数的::thousand, countless, infinite	adj::millionaire:: 100万以上人口的¦adj::millionfold:: 百万倍的¦adj::millionth:: 百万分之一的；第一百万的¦adv::millionfold:: 百万倍地¦n::millionaire:: 百万富翁；大富豪¦n::millionairess:: 百万富婆；百万富翁的妻子¦n::millionth:: 百万分之一；第一百万					
millionaire	,mɪljə'nɛr	mɪljə'neə	n::百万富翁；大富豪::someone who is very rich and has at least a million pounds or dollars¦adj::100万以上人口的::		an American millionaire::一位美国百万富翁¦a millionaire businessman::一位富商	n::[经]百万富翁；大富豪::multimillionaire, Croesus	adj::million:: 百万的；无数的¦adj::millionth:: 百万分之一的；第一百万的¦n::million:: 百万；无数¦n::millionairess:: 百万富婆；百万富翁的妻子¦n::millionth:: 百万分之一；第一百万¦num::million:: 百万					
millipede	'mɪlɪpid	'mɪlɪpiːd	n::[无脊椎] 千足虫；倍足纲节动物（等于millepede）::a long thin creature with a very large number of legs									
mime	maɪm	maɪm	n::哑剧；小丑；滑稽戏::the use of movements to express what you want to say without using words, or a play where the actors use only movements¦v::摸拟表演::to describe or express something, using movements not words		The children learn through role-play, dance and mime.::儿童通过角色表演、舞蹈和哑剧来学习。¦They will perform a short mime later.::稍后他们将表演一个哑剧小品。¦a professional mime artist::专业的哑剧表演艺术家	n::哑剧；小丑；滑稽戏::dumb show, panto	adj::mimic:: 模仿的，模拟的；假装的¦n::mimic:: 效颦者，模仿者；仿制品；小丑¦vt::mimic:: 模仿，摹拟					
mimic	'mɪmɪk	'mɪmɪk	v::模仿，摹拟::to copy the way someone speaks or behaves, especially in order to make people laugh¦n::效颦者，模仿者；仿制品；小丑::¦adj::模仿的，模拟的；假装的::	mimic warfare::模拟战争	He could mimic all the teachers’ accents.::他能模仿所有老师的口音。¦‘I’m so sorry,’ she mimicked.::“很抱歉。”她学着说道。	vt::模仿，摹拟::simulate, pattern, imitate¦n::效颦者，模仿者；仿制品；小丑::aper, imitator¦adj::模仿的，模拟的；假装的::affected, simulate, assumed	adj::mimetic:: 模仿的；拟态的；类似的¦n::mime:: 哑剧；小丑；滑稽戏¦n::mimicry:: 模仿，模拟；（动物等）拟态伪装¦n::mimesis:: [生物] 拟态；模仿¦n::mimicker:: 模仿别人的人¦vi::mime:: 摸拟表演¦vt::mime:: 摸拟表演					
mince	mɪns	mɪns	v::切碎；矫揉做作地说::to cut food, especially meat, into very small pieces, usually using a machine¦n::切碎物，肉馅::meat, especially  beef  , that has been cut into very small pieces using a special machine	mince pie::肉馅饼	minced lamb::碎羔羊肉¦Mince the meat up with some onion and garlic.::把肉和些许洋葱、大蒜混合在一起剁碎。	vt::切碎；矫揉做作地说::to chop, to cut up¦vi::装腔作势；碎步走::assume, attitudinize	adj::mincing:: 装腔作势的；矫饰的¦n::mincer:: 碎肉器（等于mincing machine）；说话吞吐的人¦v::mincing:: 切碎（mince的现在分词）					
mind	maɪnd	maɪnd	n::理智，精神；意见；智力；记忆力::used to show you are giving your opinion about something¦v::介意；专心于；照料::to feel annoyed or upset about something	in mind::记住，考虑到，想到；在心里；头脑中；时刻记住¦in my mind::在我脑海中；在我的心中；在我精神世界里¦state of mind::心理状态，思想状态；心境¦would you mind::你介意…吗¦keep in mind::记住¦don't mind::不在乎¦do you mind::[口语]¦never mind::没有关系，不要记在心上¦in the mind::心里¦open mind::开放思想，开放思维¦an open mind::虚心¦change your mind::改变心意；改变你的想法；改变你的观点¦if you don't mind::（口）如果你不介意的话；如果你不反对的话¦have in mind::考虑；想到¦make up your mind::下定你的决心¦mind control::精神控制；心灵控制¦frame of mind::心情¦out of mind::心不在焉；忘却；发狂¦out of my mind::走出我的脑海¦come to mind::想到	The Internet, to my mind, represents information exchange at its best.::因特网在我看来是最好的信息交换方式。	n::理智，精神；意见；[心理]智力；记忆力::opinion, intelligence, energy, memory, spirit¦vt::介意；专心于；照料::devote one's attention to, concentrate upon¦vi::介意；注意::take care of, take notice	adj::mindless:: 愚蠢的；不小心的；不需要动脑筋的；不顾虑的¦adj::mindful:: 留心的；记住的；警觉的¦adj::minded:: 有意的；有思想的；具有意志的¦adv::mindlessly:: 不费心思地；愚蠢地¦adv::mindfully:: 谨慎地；注意地¦n::mindfulness:: 留心，警觉¦n::minder:: 看守者；照顾者¦n::mindlessness:: 不在乎，不用心；没头脑，精神缺失¦v::minded:: 介意；照顾（mind的过去式）					
mine	maɪn	maɪn	n::矿，矿藏；矿山，矿井；地雷，水雷::¦v::开采，采掘；在…布雷::to dig large holes in the ground in order to remove coal, gold etc¦pron::我的::used by the person speaking or writing to refer to something that belongs to or is connected with himself or herself	coal mine::煤矿，煤矿坑¦gold mine::金矿，金山¦friend of mine::我的朋友¦copper mine::铜矿¦iron mine::铁矿；铁矿山¦mine ventilation::矿井通风；矿山通风¦underground mine::地下矿山；地下开采矿¦mine hoist::矿井提升机；矿井吊车¦salt mine::盐矿；岩盐产地；岩盐坑¦iron ore mine::铁矿山¦mine field::矿区；[军]雷区¦open pit mine::露天矿¦mine exploitation::矿山开发¦strip mine::n. （美）露天矿¦land mine::地雷¦acid mine drainage::酸性矿水排水；排泄酸性矿水¦mine survey::矿山测量[地理]¦mine surveying::矿山测量学；矿山勘测¦mine clearance::扫雷¦a mine of information::知识的宝库	They learnt how to lay mines (= put them in place ) .::他们学习了如何布雷。	n::矿，矿藏；矿山，矿井；地雷，水雷::ore, pit¦vt::开采，采掘；在…布雷::exploit	adj::mineral:: 矿物的；矿质的¦adj::mineralized:: 矿藏丰富的¦adj::miny:: 如矿坑的¦n::mineral:: 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）¦n::mining:: 矿业；采矿¦n::miner:: 矿工；开矿机¦n::mined:: 开采¦n::minelayer:: 布雷舰（或飞机）¦v::mineralized:: 使成矿（mineralize的过去式和过去分词）¦vi::mineralize:: 采集矿物¦vt::mineralize:: 使含无机化合物；使矿物化					
minefield	'maɪn'fild	'maɪnfiːld	n::布雷区；充满隐伏危险的事物::an area where a lot of bombs have been hidden just below the ground or under water		They realized they had wandered into a minefield.::他们意识到自己闯入雷区了。	n::布雷区；充满隐伏危险的事物::mining area	n::minelayer:: 布雷舰（或飞机）					
miner	'maɪnɚ	'maɪnə	n::矿工；开矿机::someone who works under the ground in a mine to remove coal, gold etc	continuous miner::连续采煤机；采煤联合机¦coal miner::煤矿工人¦gold miner::采金人；淘金者	Therefore, we should be more like a miner to stand in reality, excavate off wastes, and get gold mines.::所以我们更应该像一个矿工一样为执著于现实，挖开渣滓，淘出金矿。¦A miner bought food from a makeshift shop set up in the trunk of a car near a roadblock by striking miners.::一位矿工从搭建在车厢中的临时食品店中购买食物，附近的道路都被罢工的矿工们设置了路障。	n::[矿业]矿工；开矿机::collier, pitman	adj::mineral:: 矿物的；矿质的¦adj::mineralized:: 矿藏丰富的¦adj::miny:: 如矿坑的¦n::mine:: 矿，矿藏；矿山，矿井；地雷，水雷¦n::mineral:: 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）¦n::mining:: 矿业；采矿¦n::mineworker:: 矿工¦pron::mine:: 我的¦v::mineralized:: 使成矿（mineralize的过去式和过去分词）¦vi::mine:: 开矿，采矿；埋设地雷¦vi::mineralize:: 采集矿物¦vt::mine:: 开采，采掘；在…布雷¦vt::mineralize:: 使含无机化合物；使矿物化					
mineral	'mɪnərəl	'mɪn(ə)r(ə)l	n::矿物；（英）矿泉水；无机物；苏打水（常用复数表示）::a substance that is formed naturally in the earth, such as coal, salt, stone, or gold. Minerals can be dug out of the ground and used¦adj::矿物的；矿质的::	mineral resources::矿藏¦mineral processing::选矿；矿物加工工程¦mineral oil::矿物油，矿油¦mineral composition::矿物组成，矿物成分¦clay mineral::粘土矿物；硅酸盐¦mineral exploration::矿产勘探¦mineral deposit::[地]矿床¦mineral industry::矿产业¦mineral substance::矿物质¦mineral product::矿产¦mineral spring::n. 矿泉¦mineral wool::矿物棉（等于rock wool）¦mineral crystal::矿物晶体，无机晶体；天然水晶¦mineral reserves::矿藏；矿储藏量；矿产储藏¦mineral prospecting::探矿；矿物勘探¦mineral fiber::矿物纤维¦mineral matter::矿物质，矿质¦heavy mineral::重矿物¦mineral dressing::选矿；富集¦essential mineral::知矿物；主成份矿物；基本矿物	The area is very rich in minerals .::该地区矿产非常丰富。¦a country with few mineral resources::矿产资源稀少的国家	n::[矿物]矿物；（英）矿泉水；无机物；苏打水（常用复数表示）::table-water, inorganics	adj::mineralized:: 矿藏丰富的¦adj::miny:: 如矿坑的¦n::mine:: 矿，矿藏；矿山，矿井；地雷，水雷¦n::mining:: 矿业；采矿¦n::miner:: 矿工；开矿机¦n::mineralogy:: 矿物学；矿物学书籍¦n::mineralogist:: 矿物学者¦pron::mine:: 我的¦v::mineralized:: 使成矿（mineralize的过去式和过去分词）¦vi::mine:: 开矿，采矿；埋设地雷¦vi::mineralize:: 采集矿物¦vt::mine:: 开采，采掘；在…布雷¦vt::mineralize:: 使含无机化合物；使矿物化					
